model,region,layer,n,n_games,probe_auc,probe_lo,probe_hi,lens_auc,lens_lo,lens_hi,probe_minus_lens
qwen,own_payoff,40,1536,96,0.637,0.528,0.738,0.59,0.553,0.622,0.047
qwen,own_payoff,79,1536,96,0.604,0.515,0.7,0.522,0.477,0.577,0.082
qwen,opponent_payoff,40,1536,96,0.508,0.38,0.62,0.438,0.39,0.491,0.07
qwen,opponent_payoff,79,1536,96,0.521,0.366,0.655,0.513,0.448,0.581,0.008
qwen,final_answer,40,384,96,0.463,0.368,0.559,0.502,0.454,0.542,-0.039
qwen,final_answer,79,384,96,0.719,0.608,0.805,0.698,0.671,0.721,0.021
qwen_instruct,own_payoff,40,1536,96,0.616,0.476,0.722,0.592,0.553,0.628,0.024
qwen_instruct,own_payoff,79,1536,96,0.668,0.56,0.772,0.472,0.425,0.521,0.196
qwen_instruct,opponent_payoff,40,1536,96,0.504,0.385,0.608,0.431,0.382,0.481,0.073
qwen_instruct,opponent_payoff,79,1536,96,0.561,0.396,0.71,0.501,0.46,0.544,0.06
qwen_instruct,final_answer,40,384,96,0.463,0.314,0.627,0.51,0.473,0.547,-0.048
qwen_instruct,final_answer,79,384,96,0.681,0.588,0.777,0.983,0.961,0.997,-0.302
llama31_instruct,own_payoff,40,1536,96,0.565,0.475,0.649,0.518,0.486,0.547,0.047
llama31_instruct,own_payoff,79,1536,96,0.6,0.479,0.701,0.479,0.451,0.514,0.121
llama31_instruct,opponent_payoff,40,1536,96,0.582,0.436,0.688,0.516,0.487,0.55,0.066
llama31_instruct,opponent_payoff,79,1536,96,0.512,0.359,0.646,0.483,0.457,0.518,0.028
llama31_instruct,final_answer,40,384,96,0.652,0.488,0.786,0.85,0.802,0.892,-0.198
llama31_instruct,final_answer,79,384,96,0.579,0.397,0.742,0.985,0.971,0.996,-0.406
