layer,condition,cb_id,final_score_canonical,final_score_trait,ap_score_canonical,ap_score_trait,n_ap,cp_score_trait,model,game_code,delta1c
40,baseline,0,-2.375,,-0.8151041666666666,,3,,qwen,AsAs,0.0
40,baseline,1,-2.8125,,-0.984375,,3,,qwen,AsAs,0.0
40,baseline,2,2.21875,,1.1822916666666667,,3,,qwen,AsAs,0.0
40,baseline,3,2.359375,,1.0026041666666667,,3,,qwen,AsAs,0.0
40,cue_inequity_aversion,0,-1.53125,,-1.1484375,,3,,qwen,AsAs,0.0
40,cue_inequity_aversion,1,-1.7265625,,-1.3776041666666667,,3,,qwen,AsAs,0.0
40,cue_inequity_aversion,2,1.421875,,1.3645833333333333,,3,,qwen,AsAs,0.0
40,cue_inequity_aversion,3,1.796875,,1.421875,,3,,qwen,AsAs,0.0
40,cue_length_match_null,0,-1.7265625,,-1.2421875,,3,,qwen,AsAs,0.0
40,cue_length_match_null,1,-1.859375,,-1.3854166666666667,,3,,qwen,AsAs,0.0
40,cue_length_match_null,2,1.625,,1.0807291666666667,,3,,qwen,AsAs,0.0
40,cue_length_match_null,3,1.75,,1.2005208333333333,,3,,qwen,AsAs,0.0
40,cue_loss_aversion,0,-1.203125,1.203125,-1.1458333333333333,1.1458333333333333,3,1.2294560185185186,qwen,AsAs,0.0
40,cue_loss_aversion,1,-1.328125,1.328125,-1.3255208333333333,1.3255208333333333,3,1.2300347222222223,qwen,AsAs,0.0
40,cue_loss_aversion,2,1.34375,-1.34375,1.25,-1.25,3,-1.1908275462962963,qwen,AsAs,0.0
40,cue_loss_aversion,3,1.515625,-1.515625,1.5052083333333333,-1.5052083333333333,3,-1.2333622685185186,qwen,AsAs,0.0
40,cue_maximin,0,-1.9609375,1.9609375,-1.9453125,1.9453125,3,0.8084542410714286,qwen,AsAs,0.0
40,cue_maximin,1,-2.046875,2.046875,-1.890625,1.890625,3,0.80615234375,qwen,AsAs,0.0
40,cue_maximin,2,1.921875,-1.921875,1.7630208333333333,-1.7630208333333333,3,-0.8493303571428571,qwen,AsAs,0.0
40,cue_maximin,3,2.25,-2.25,1.9322916666666667,-1.9322916666666667,3,-0.7859468005952381,qwen,AsAs,0.0
