game_code,delta1c
AsAs,0.0
AsBa,-0.0
BaBa,0.0
ChAs,0.0
ChBa,0.0
CmAs,2.0
CmBa,2.0
CmCh,2.0
CmCm,2.0
CmCo,2.0
CmHr,2.0
CmNc,2.0
CmPc,2.0
CmPd,2.0
CmSh,2.0
CoAs,1.0
CoBa,1.0
CoCh,1.0
CoCo,1.0
CoSh,1.0
DlAs,2.0
DlBa,2.0
DlCh,2.0
DlCm,2.0
DlCo,2.0
DlDl,2.0
DlHa,2.0
DlHr,2.0
DlNc,2.0
DlPc,2.0
DlPd,2.0
DlSh,2.0
HaAs,2.0
HaBa,2.0
HaCh,2.0
HaCm,2.0
HaCo,2.0
HaHa,2.0
HaHr,2.0
HaNc,2.0
HaPc,2.0
HaPd,2.0
HaSh,2.0
HrAs,1.0
HrBa,1.0
HrCh,1.0
HrCo,1.0
HrHr,1.0
HrSh,1.0
NcAs,1.0
NcBa,1.0
NcCh,1.0
NcCo,1.0
NcHr,1.0
NcNc,1.0
NcPd,1.0
NcSh,1.0
PcAs,2.0
PcBa,2.0
PcCh,2.0
PcCo,2.0
PcHr,2.0
PcNc,2.0
PcPc,2.0
PcPd,2.0
PcSh,2.0
PdAs,1.0
PdBa,1.0
PdCh,1.0
PdCo,1.0
PdHr,1.0
PdSh,1.0
ShAs,0.0
ShBa,-0.0
ShCh,-0.0
ShSh,0.0
AsCh,-0.0
AsCm,-0.0
AsCo,0.0
AsDl,-0.0
AsHa,0.0
AsHr,-0.0
AsNc,0.0
AsPc,0.0
AsPd,-0.0
AsSh,0.0
BaAs,0.0
BaCh,0.0
BaCm,0.0
BaCo,0.0
BaDl,0.0
BaHa,-0.0
BaHr,0.0
BaNc,-0.0
BaPc,-0.0
BaPd,0.0
BaSh,0.0
ChCh,0.0
ChCm,0.0
ChCo,0.0
ChDl,0.0
ChHa,-0.0
ChHr,0.0
ChNc,-0.0
ChPc,-0.0
ChPd,0.0
ChSh,0.0
CmDl,2.0
CmHa,2.0
CoCm,-1.0
CoDl,-1.0
CoHa,1.0
CoHr,1.0
CoNc,1.0
CoPc,1.0
CoPd,-1.0
HaDl,2.0
HrCm,-1.0
HrDl,-1.0
HrHa,1.0
HrNc,1.0
HrPc,1.0
HrPd,-1.0
NcCm,1.0
NcDl,1.0
NcHa,1.0
NcPc,1.0
PcCm,2.0
PcDl,2.0
PcHa,2.0
PdCm,1.0
PdDl,1.0
PdHa,1.0
PdNc,1.0
PdPc,1.0
PdPd,1.0
ShCm,-0.0
ShCo,0.0
ShDl,-0.0
ShHa,0.0
ShHr,-0.0
ShNc,0.0
ShPc,0.0
ShPd,-0.0
