model,region,mean,lo,hi
qwen,intro,-0.013916015625,-0.025716145833333332,-0.0035257975260416675
qwen,rule,0.5633002387152778,0.2275625440809462,0.8881827460394965
qwen,own_payoff,-0.3502197265625,-0.5132205539279513,-0.18743150499131947
qwen,opponent_payoff,-0.06782023111979167,-0.23173946804470485,0.10674057006835934
qwen,label_token,-0.1522894965277778,-0.29797498914930554,-0.004304334852430564
qwen,question,0.058325873480902776,0.03191765679253472,0.08156704372829861
qwen,answer_prefix,0.1328396267361111,0.09645521375868055,0.17171834309895834
qwen_instruct,intro,-0.018839518229166668,-0.03632303873697917,0.001356675889756944
qwen_instruct,rule,1.852490743001302,1.3426324632432725,2.4071726904975046
qwen_instruct,own_payoff,-0.8866772121853299,-1.1844171524047853,-0.5838752534654407
qwen_instruct,opponent_payoff,-0.6531100802951388,-1.030950207180447,-0.32385393778483085
qwen_instruct,label_token,-0.2731662326388889,-0.4883355034722222,-0.06483086480034725
qwen_instruct,question,0.06947496202256945,0.03354644775390625,0.10486577351888021
qwen_instruct,answer_prefix,1.2139180501302083,1.0002811855740017,1.4377587212456597
llama31_instruct,intro,0.004014756944444444,-0.02154269748263889,0.03245035807291666
llama31_instruct,rule,0.6300930447048612,0.39041561550564235,0.8800470987955729
llama31_instruct,own_payoff,-0.3910861545138889,-0.5227145724826389,-0.25516967773437504
llama31_instruct,opponent_payoff,0.020751953125,-0.13263142903645833,0.17196655273437494
llama31_instruct,label_token,-0.26898193359375,-0.44344889322916664,-0.1050726996527778
llama31_instruct,question,0.025010850694444444,-0.00499267578125,0.05539720323350694
llama31_instruct,answer_prefix,0.6744249131944444,0.5609781901041667,0.7886528862847222
