model,mode,steer_layer,variant,game_code,letter_nonzero_rate,letter_dose_aligned_rate_all,letter_dose_aligned_rate_nonzero,act0_nonzero_rate,act0_dose_aligned_rate_all,act0_dose_aligned_rate_nonzero,canon_nonzero_rate,canon_dose_aligned_rate_all,canon_dose_aligned_rate_nonzero
llama31_instruct,h1_dinc,65,main,AsAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,AsBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,AsCh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,AsCm,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.5,0.5217391304347826,0.9583333333333334,0.4583333333333333,0.4782608695652174
llama31_instruct,h1_dinc,65,main,AsCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,AsDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,AsHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,AsHr,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,AsNc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,AsPc,1.0,0.9583333333333334,0.9583333333333334,1.0,0.5416666666666666,0.5416666666666666,1.0,0.5416666666666666,0.5416666666666666
llama31_instruct,h1_dinc,65,main,AsPd,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,AsSh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaCh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaHr,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaNc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaPc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaPd,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,BaSh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,ChAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,ChBa,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.4583333333333333,0.4782608695652174,0.9583333333333334,0.4583333333333333,0.4782608695652174
llama31_instruct,h1_dinc,65,main,ChCh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,ChCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,ChCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,ChDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,ChHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,ChHr,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,CmAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,CmCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,CmDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,CmHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,CmNc,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.4583333333333333,0.4782608695652174,0.9583333333333334,0.5,0.5217391304347826
llama31_instruct,h1_dinc,65,main,CoAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,CoCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,CoSh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,HaAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,HaBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,HaCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,HaDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,HaHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,HaNc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,HaPc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,HrAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,HrBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,HrCh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,HrHr,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,ShAs,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666,0.4166666666666667,0.45454545454545453,0.9166666666666666,0.4166666666666667,0.45454545454545453
llama31_instruct,h1_dinc,65,main,ShCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main,ShSh,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.5,0.5217391304347826,0.9583333333333334,0.5,0.5217391304347826
llama31_instruct,h1_dinc,65,main_perp,AsAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,AsBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,AsCh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,AsCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,AsCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,AsDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,AsHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,AsHr,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,AsNc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,AsPc,1.0,0.9583333333333334,0.9583333333333334,1.0,0.5416666666666666,0.5416666666666666,1.0,0.5416666666666666,0.5416666666666666
llama31_instruct,h1_dinc,65,main_perp,AsPd,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,AsSh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaCh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaHr,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaNc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaPc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaPd,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,BaSh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,ChAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,ChBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,ChCh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,ChCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,ChCo,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.5,0.5217391304347826,0.9583333333333334,0.5,0.5217391304347826
llama31_instruct,h1_dinc,65,main_perp,ChDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,ChHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,ChHr,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.5,0.5217391304347826,0.9583333333333334,0.5,0.5217391304347826
llama31_instruct,h1_dinc,65,main_perp,CmAs,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.4583333333333333,0.4782608695652174,0.9583333333333334,0.5,0.5217391304347826
llama31_instruct,h1_dinc,65,main_perp,CmCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CmDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CmHa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CmNc,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CoAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CoCo,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,CoSh,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HaAs,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HaBa,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HaCm,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,65,main_perp,HaDl,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
