model,mode,steer_layer,contrast,n_games,d_letter_slope_diff_mean,d_letter_slope_diff_ci_low,d_letter_slope_diff_ci_high,d_canon_slope_diff_mean,d_canon_slope_diff_ci_low,d_canon_slope_diff_ci_high,d_beh_canon_slope_diff_mean,d_beh_canon_slope_diff_ci_low,d_beh_canon_slope_diff_ci_high,d_letter_range_diff_mean,d_letter_range_diff_ci_low,d_letter_range_diff_ci_high,d_canon_range_diff_mean,d_canon_range_diff_ci_low,d_canon_range_diff_ci_high,d_beh_canon_range_diff_mean,d_beh_canon_range_diff_ci_low,d_beh_canon_range_diff_ci_high,cell_flip_canon_diff_mean,cell_flip_canon_diff_ci_low,cell_flip_canon_diff_ci_high,cell_range_canon_diff_mean,cell_range_canon_diff_ci_low,cell_range_canon_diff_ci_high
llama31_instruct,h1_dinc,65,main-random,54,1.261006790123457,1.224625551697531,1.2952033796296296,0.011011728395061725,-0.022992866512345684,0.045270779320987636,0.04320987654320985,-0.05401234567901234,0.13580246913580243,0.6109749999999999,0.5947111689814815,0.6248712615740741,0.0898347222222222,0.07343751157407408,0.10631611111111113,0.28703703703703703,0.22685185185185186,0.3425925925925926,0.8101851851851852,0.7546296296296297,0.8565972222222216,0.6040166666666666,0.5891080092592592,0.6177872337962963
llama31_instruct,h1_dinc,65,main_perp-random,54,1.1756800925925923,1.1381900347222222,1.212237897376543,0.008858796296296293,-0.0253919174382716,0.04519218364197529,0.026234567901234556,-0.08179012345679011,0.12654320987654316,0.5731138888888889,0.5572559606481481,0.5876349884259259,0.08257916666666668,0.06649190972222221,0.09852472222222218,0.28703703703703703,0.22685185185185186,0.3425925925925926,0.7777777777777778,0.7175925925925926,0.8379629629629629,0.5661555555555555,0.5506561805555554,0.580345949074074
llama31_instruct,h1_dinc,79,main-random,54,3.399657253086419,3.3605852276234565,3.436200420524692,0.02068410493827159,-0.012616628086419774,0.0544241010802469,0.13580246913580243,-0.046296296296296294,0.31022376543209856,0.606474537037037,0.5924559722222222,0.620716273148148,0.08555370370370369,0.06577660879629631,0.10755362268518516,-0.09722222222222222,-0.1712962962962963,-0.023148148148148147,0.3611111111111111,0.27314814814814814,0.4444444444444444,0.606474537037037,0.5929632060185185,0.6216166435185184
llama31_instruct,h1_dinc,79,main_perp-random,54,0.818487037037037,0.7849174266975311,0.8486793132716047,0.0011070987654321057,-0.026744872685185175,0.029847731481481496,0.16512345679012344,-0.003086419753086408,0.33491512345679,-0.3706921296296296,-0.3842407291666667,-0.35669266203703703,-0.03529398148148148,-0.04204784722222222,-0.028750810185185185,-0.3287037037037037,-0.375,-0.2824074074074074,-0.6111111111111112,-0.6898148148148148,-0.5324074074074074,-0.35175138888888896,-0.3670976736111111,-0.3355061342592592
llama31_instruct,h2_choice,65,main-random,54,-0.24479922839506169,-0.27319850694444436,-0.21752476851851849,-0.03596774691358025,-0.06510101851851853,-0.004894641203703731,-0.0601851851851852,-0.2006558641975309,0.08487654320987652,-0.03645046296296296,-0.0422806712962963,-0.03091913194444445,0.0019611111111111092,-0.0026818865740740765,0.006536886574074069,-0.013888888888888888,-0.05092592592592592,0.018518518518518517,-0.023148148148148147,-0.06018518518518518,0.013888888888888888,-0.02431990740740741,-0.029421932870370378,-0.019588738425925935
llama31_instruct,h2_choice,65,main_perp-random,54,-0.28512438271604934,-0.3132770177469136,-0.25742559799382714,-0.03726635802469135,-0.07013574459876543,-0.002102507716049453,-0.032407407407407406,-0.18364197530864199,0.11111111111111109,-0.01913842592592593,-0.024335416666666665,-0.01399984953703704,0.005361574074074076,0.0009340277777777794,0.009809467592592592,0.0,-0.027777777777777776,0.027777777777777776,-0.004629629629629629,-0.037037037037037035,0.027777777777777776,-0.010573611111111113,-0.015378263888888891,-0.0057408101851852
llama31_instruct,h2_choice,79,main-random,54,-0.41295123456790117,-0.4234252777777778,-0.40243713734567893,-0.003442901234567883,-0.012556161265432072,0.005891412037037032,0.02469135802469133,-0.06635802469135804,0.11574074074074069,0.19623842592592594,0.19211195601851855,0.20037843750000003,0.03079444444444444,0.025016099537037033,0.03671783564814814,0.05092592592592592,0.004629629629629629,0.09722222222222222,0.24074074074074073,0.1712962962962963,0.3101851851851852,0.1962384259259259,0.19222907407407408,0.20007480324074073
llama31_instruct,h2_choice,79,main_perp-random,54,0.818589660493827,0.789915084876543,0.8485802430555553,0.010001080246913598,-0.017000968364197518,0.037130667438271626,0.1481481481481481,-0.027854938271604967,0.3225308641975307,-0.37118333333333337,-0.38443378472222217,-0.35728435185185187,-0.03920092592592593,-0.04687968750000001,-0.03157023148148149,-0.3287037037037037,-0.375,-0.2824074074074074,-0.6111111111111112,-0.6851851851851852,-0.5322916666666674,-0.3564981481481481,-0.37097606481481477,-0.341747662037037
qwen,h1_dinc,65,main-random,54,1.0081638888888886,0.9972550925925927,1.0183922492283948,0.014950308641975305,0.0007455825617283962,0.029183892746913586,-0.013888888888888905,-0.11882716049382715,0.0864583333333331,0.4870263888888889,0.48284728009259253,0.4912120138888888,0.02552222222222222,0.01820172453703704,0.03269465277777778,0.2777777777777778,0.2222222222222222,0.3287037037037037,0.9027777777777778,0.8657407407407407,0.9351851851851852,0.4705361111111111,0.4658052662037037,0.47535605324074076
qwen,h1_dinc,65,main_perp-random,54,0.9951493827160495,0.9850066203703703,1.0047833719135801,0.01709537037037037,0.004767245370370381,0.031175038580246908,0.01697530864197529,-0.06944444444444443,0.10497685185185161,0.48090370370370367,0.4769372569444445,0.4849392708333334,0.025305092592592594,0.018690636574074063,0.03222299768518517,0.28703703703703703,0.23148148148148148,0.3425925925925926,0.9074074074074074,0.8703703703703703,0.9398148148148148,0.464413425925926,0.4604230324074075,0.4685308912037037
qwen,h1_dinc,79,main-random,54,0.7757530864197529,0.7669231134259258,0.7839943981481479,0.0036410493827160498,-0.00338729552469137,0.010357256944444436,0.02469135802469136,-0.07874228395061729,0.1280864197530864,0.34979027777777777,0.3458351157407408,0.3538121527777778,0.006746296296296295,0.00403400462962962,0.00950542824074073,0.3148148148148148,0.2638888888888889,0.36574074074074076,0.8472222222222222,0.7962962962962963,0.8935185185185185,0.34267499999999995,0.3387913773148149,0.34691615740740744
qwen,h1_dinc,79,main_perp-random,54,0.03235,0.025581103395061734,0.0385841473765432,0.002002777777777779,-0.003209282407407421,0.007246516203703704,-0.0324074074074074,-0.08796296296296295,0.02006172839506173,-0.004970370370370371,-0.00676400462962963,-0.0032334953703703705,-0.0004050925925925971,-0.002116226851851854,0.001322615740740729,-0.004629629629629629,-0.023148148148148147,0.009259259259259259,-0.004629629629629629,-0.023148148148148147,0.009259259259259259,-0.003977314814814821,-0.0058477430555555565,-0.002087013888888889
qwen,h2_choice,65,main-random,54,-0.3689061728395061,-0.3819320794753085,-0.35582011188271595,0.04268333333333332,0.01914462577160492,0.06665792438271602,-0.12037037037037035,-0.27006172839506165,0.021643518518518336,0.15999120370370368,0.15286363425925928,0.16686817129629633,0.026131481481481474,0.019231180555555557,0.0330089236111111,0.13425925925925927,0.09259259259259259,0.17592592592592593,0.26851851851851855,0.21296296296296297,0.3287037037037037,0.14419166666666666,0.1374591666666667,0.15119358796296295
qwen,h2_choice,65,main_perp-random,54,-0.36712253086419755,-0.3807468209876542,-0.3534650270061728,0.047295370370370377,0.024062040895061722,0.07253405864197528,-0.07716049382716045,-0.23302469135802467,0.07870370370370372,0.15942129629629628,0.15207976851851854,0.16674747685185184,0.026220370370370363,0.019109259259259256,0.033792499999999996,0.14351851851851852,0.10185185185185185,0.18981481481481483,0.28703703703703703,0.22685185185185186,0.3472222222222222,0.14376944444444442,0.13673959490740742,0.15089140046296295
qwen,h2_choice,79,main-random,54,-0.15341327160493826,-0.15961508873456792,-0.1474466010802469,0.005294135802469135,-0.00043374999999999474,0.010851620370370366,-0.023148148148148133,-0.12503858024691356,0.07870370370370369,0.06958703703703704,0.0667187847222222,0.07283621527777778,0.0012842592592592543,-0.0007519212962962952,0.003162326388888883,0.0787037037037037,0.046296296296296294,0.11574074074074074,0.1527777777777778,0.09722222222222222,0.2175925925925926,0.06261111111111112,0.05940295138888888,0.0659440162037037
qwen,h2_choice,79,main_perp-random,54,0.026041666666666647,0.01988904320987654,0.03172376929012345,-0.0012234567901234466,-0.007259799382716041,0.005029529320987648,-0.020061728395061724,-0.06790123456790122,0.023148148148148143,-0.0047402777777777756,-0.006607430555555556,-0.002951631944444439,0.0006689814814814787,-0.0013407407407407422,0.0026815393518518473,0.0,-0.018518518518518517,0.018518518518518517,0.0,-0.018518518518518517,0.018518518518518517,-0.003559722222222228,-0.005612534722222229,-0.001651296296296298
qwen_instruct,h1_dinc,65,main-random,54,1.3295041666666667,1.2411283834876548,1.412317627314815,0.04630416666666663,-0.0018820331790123587,0.0934076350308641,0.0848765432098765,-0.05405092592592593,0.22993827160493818,0.6797462962962962,0.6400846527777778,0.7218849305555557,0.18474351851851853,0.15923344907407408,0.20696796296296296,0.2962962962962963,0.25,0.3425925925925926,0.6296296296296297,0.5509259259259259,0.7037037037037037,0.6758226851851852,0.6324523032407408,0.7158039930555554
qwen_instruct,h1_dinc,65,main_perp-random,54,1.3037750000000001,1.2158153780864198,1.3907143865740736,0.05056141975308638,0.001061307870370354,0.09825936342592588,0.08796296296296292,-0.058680555555555576,0.23302469135802464,0.666026388888889,0.6254570601851851,0.7065425578703702,0.1835384259259259,0.1598733912037037,0.20769680555555556,0.2962962962962963,0.24988425925925928,0.3425925925925926,0.6111111111111112,0.5369212962962964,0.6898148148148148,0.6621027777777777,0.6208510416666666,0.7018223148148147
qwen_instruct,h1_dinc,79,main-random,54,1.006649537037037,0.9118095177469135,1.0900969945987649,0.05430077160493824,-0.0401166820987654,0.14932527006172835,0.010802469135802443,-0.20063014403292181,0.23097993827160485,0.5025143518518519,0.4602526620370371,0.5433659375,0.18016018518518523,0.15578857638888888,0.2037676157407407,0.3441358024691357,0.29012345679012347,0.39969135802469136,0.42592592592592593,0.36574074074074076,0.4861111111111111,0.5019041666666667,0.4584670254629629,0.5421135648148148
qwen_instruct,h1_dinc,79,main_perp-random,54,-0.037608179012345665,-0.043420547839506156,-0.03213043595679011,-0.001795216049382715,-0.007811504629629627,0.00412046296296295,-0.018518518518518514,-0.07098765432098764,0.026234567901234573,-0.010724999999999998,-0.012718333333333333,-0.008798923611111112,-0.0043013888888888884,-0.005596319444444445,-0.0030410648148148155,-0.004629629629629629,-0.013888888888888888,0.0,-0.004629629629629629,-0.013888888888888888,0.0,-0.009482870370370374,-0.011428877314814826,-0.007704583333333341
