model,mode,steer_layer,variant,n_games,d_letter_slope_mean,d_letter_slope_ci_low,d_letter_slope_ci_high,d_letter_range_mean,d_letter_abs_pos025_mean,d_letter_abs_neg025_mean,d_act0_slope_mean,d_act0_slope_ci_low,d_act0_slope_ci_high,d_act0_range_mean,d_act0_abs_pos025_mean,d_act0_abs_neg025_mean,d_canon_slope_mean,d_canon_slope_ci_low,d_canon_slope_ci_high,d_canon_range_mean,d_canon_abs_pos025_mean,d_canon_abs_neg025_mean,d_beh_letter_slope_mean,d_beh_letter_slope_ci_low,d_beh_letter_slope_ci_high,d_beh_letter_range_mean,d_beh_letter_abs_pos025_mean,d_beh_letter_abs_neg025_mean,d_beh_act0_slope_mean,d_beh_act0_slope_ci_low,d_beh_act0_slope_ci_high,d_beh_act0_range_mean,d_beh_act0_abs_pos025_mean,d_beh_act0_abs_neg025_mean,d_beh_canon_slope_mean,d_beh_canon_slope_ci_low,d_beh_canon_slope_ci_high,d_beh_canon_range_mean,d_beh_canon_abs_pos025_mean,d_beh_canon_abs_neg025_mean,n_cells,cell_letter_range_mean,cell_letter_range_p95,cell_act0_range_mean,cell_act0_range_p95,cell_canon_range_mean,cell_canon_range_p95,flip_letter_rate,flip_letter_rate_ci_low,flip_letter_rate_ci_high,flip_action_rate,flip_action_rate_ci_low,flip_action_rate_ci_high,flip_canon_rate,flip_canon_rate_ci_low,flip_canon_rate_ci_high,letter_nonzero_rate,letter_dose_aligned_rate_all,letter_dose_aligned_rate_nonzero,act0_nonzero_rate,act0_dose_aligned_rate_all,act0_dose_aligned_rate_nonzero,canon_nonzero_rate,canon_dose_aligned_rate_all,canon_dose_aligned_rate_nonzero
llama31_instruct,h1_dinc,65,main,54,1.4242368827160492,1.373847511574074,1.469673422067901,0.6954000000000001,0.41156435185185186,0.28383564814814816,0.11195262345679012,0.07922341435185185,0.14713766203703704,0.12596296296296294,0.06795694444444443,0.09170787037037036,0.033140277777777775,-0.012078641975308637,0.07971441358024683,0.12596296296296294,0.06795694444444443,0.09170787037037036,2.047839506172839,1.942901234567901,2.1450617283950613,0.9583333333333334,0.6342592592592593,0.32407407407407407,0.2268518518518519,0.15119598765432096,0.3055555555555556,0.41203703703703703,0.24537037037037038,0.24074074074074073,0.06944444444444442,-0.03398919753086424,0.16670524691358002,0.41203703703703703,0.24537037037037038,0.24074074074074073,216,0.6954,0.8173,0.6954,0.8173,0.6954,0.8173,0.9583333333333334,0.9259259259259259,0.9815972222222216,0.9583333333333334,0.9304398148148149,0.9814814814814815,0.9583333333333334,0.9259259259259259,0.9814814814814815,0.9953703703703703,0.9945987654320987,0.9992283950617284,0.9953703703703703,0.49768518518518523,0.4999298540965207,0.9953703703703703,0.4976851851851852,0.4999298540965207
llama31_instruct,h1_dinc,65,main_perp,54,1.3389101851851852,1.2902616666666664,1.3803448688271602,0.6575388888888888,0.39217500000000005,0.2653638888888889,0.11236512345679012,0.07891998842592593,0.1468250385802469,0.11870740740740741,0.06307037037037037,0.08252129629629633,0.030987345679012353,-0.014025142746913568,0.07782577546296286,0.11870740740740741,0.06307037037037036,0.08252129629629633,1.9598765432098761,1.842554012345679,2.0648148148148144,0.9259259259259259,0.6064814814814815,0.3194444444444444,0.2654320987654321,0.17129629629629634,0.3688271604938272,0.41203703703703703,0.2361111111111111,0.2361111111111111,0.05246913580246912,-0.07253086419753088,0.16975308641975306,0.41203703703703703,0.2361111111111111,0.2361111111111111,216,0.6575388888888889,0.77735,0.6575388888888889,0.77735,0.6575388888888889,0.77735,0.9259259259259259,0.8842592592592593,0.9629629629629629,0.9259259259259259,0.8842592592592593,0.9629629629629629,0.9259259259259259,0.8842592592592593,0.9629629629629629,0.9961419753086419,0.9953703703703705,0.9992283950617284,0.9961419753086419,0.4992283950617284,0.5011741814278046,0.9961419753086419,0.49999999999999994,0.5019793344068707
llama31_instruct,h1_dinc,65,random,54,0.16323009259259255,0.14860282407407405,0.17682353395061728,0.084425,0.04937407407407408,0.03439027777777778,0.029277006172839508,0.01359321759259259,0.04469544753086418,0.03612824074074075,0.015026851851851852,0.0186587962962963,0.02212854938271605,0.0050843325617283925,0.03784073688271604,0.03612824074074075,0.015026851851851849,0.0186587962962963,0.27314814814814814,0.18827160493827158,0.361111111111111,0.14814814814814814,0.08796296296296297,0.05555555555555555,0.10956790123456789,0.0324074074074074,0.19444444444444442,0.125,0.08796296296296297,0.037037037037037035,0.026234567901234556,-0.057098765432098776,0.11574074074074074,0.125,0.08796296296296297,0.037037037037037035,216,0.09138333333333334,0.18439999999999995,0.09138333333333334,0.18439999999999995,0.09138333333333334,0.18439999999999995,0.14814814814814814,0.09722222222222222,0.19907407407407407,0.14814814814814814,0.10185185185185185,0.19907407407407407,0.14814814814814814,0.10185185185185185,0.19907407407407407,0.7114197530864197,0.5709876543209877,0.8059412312228789,0.7114197530864197,0.3726851851851852,0.528987262148597,0.7114197530864197,0.3850308641975309,0.5430339301985329
llama31_instruct,h1_dinc,79,main,54,2.5934376543209874,2.586560007716049,2.600308869598765,0.9999837962962963,0.5689587962962963,0.43102500000000005,0.01408086419753086,0.009060443672839502,0.019678456790123446,0.14977731481481482,0.14945416666666667,0.14946944444444446,0.0031558641975308398,-0.003311153549382752,0.00957807870370366,0.14977731481481482,0.14945416666666667,0.14946944444444446,2.660493827160493,2.6527777777777772,2.6666666666666656,1.0,0.6574074074074074,0.3425925925925926,0.006172839506172856,4.280592176189133e-18,0.013888888888888926,0.25925925925925924,0.25925925925925924,0.25925925925925924,-2.055808024176926e-17,-0.0061728395061728765,0.007716049382716038,0.25925925925925924,0.25925925925925924,0.25925925925925924,216,0.9999837962962963,1.0,0.9999837962962963,1.0,0.9999837962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h1_dinc,79,main_perp,54,0.012267438271604928,0.005312635030864186,0.018856261574074062,0.022817129629629625,0.01682546296296297,0.00794259259259259,-0.00015941358024692783,-0.010070258487654334,0.010237878086419737,0.02892962962962964,0.023012499999999998,0.011125000000000003,-0.016421141975308647,-0.02562566743827161,-0.0076146026234568,0.02892962962962964,0.023012499999999998,0.011124999999999998,-0.044753086419753084,-0.08796296296296295,-0.012345679012345677,0.027777777777777776,0.009259259259259259,0.013888888888888888,0.026234567901234566,-0.009259259259259259,0.06790123456790122,0.027777777777777776,0.009259259259259259,0.013888888888888888,0.029320987654320983,-0.007716049382716049,0.07253086419753087,0.027777777777777776,0.009259259259259259,0.013888888888888888,216,0.04175787037037036,0.0676,0.04175787037037037,0.0676,0.04175787037037037,0.0676,0.027777777777777776,0.009259259259259259,0.05092592592592592,0.027777777777777776,0.009259259259259259,0.05092592592592592,0.027777777777777776,0.009259259259259259,0.05092592592592592,0.8078703703703702,0.4205246913580247,0.5196120965664309,0.8078703703703702,0.4058641975308642,0.5033122982490889,0.8078703703703702,0.38117283950617287,0.4760090058529171
llama31_instruct,h1_dinc,79,random,54,-0.8062195987654319,-0.837289610339506,-0.7740533757716049,0.3935092592592592,0.1786490740740741,0.21486018518518513,-0.06893996913580247,-0.09171882716049382,-0.04620650077160492,0.0642236111111111,0.045891666666666664,0.03171666666666667,-0.01752824074074075,-0.04631899691358024,0.010694498456790111,0.06422361111111112,0.04589166666666667,0.03171666666666667,-1.32716049382716,-1.5108410493827162,-1.1295910493827164,0.6388888888888888,0.25,0.3888888888888889,-0.38888888888888884,-0.5401234567901233,-0.2453703703703704,0.35648148148148145,0.16666666666666666,0.2222222222222222,-0.13580246913580243,-0.30864197530864185,0.043209876543209846,0.35648148148148145,0.16666666666666666,0.2222222222222222,216,0.3935092592592593,0.483875,0.3935092592592593,0.483875,0.3935092592592593,0.483875,0.6388888888888888,0.5509259259259259,0.7222222222222222,0.6388888888888888,0.5555555555555556,0.7222222222222222,0.6388888888888888,0.5509259259259259,0.7223379629629623,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5
llama31_instruct,h2_choice,65,main,54,-0.08156913580246912,-0.0975776311728395,-0.06613769675925923,0.04797453703703704,0.01773101851851852,0.027864814814814804,-0.0010012345679012407,-0.018944976851851862,0.016796604938271596,0.03808935185185186,0.013953240740740743,0.021987962962962956,-0.013839197530864197,-0.030397206790123452,0.0030917901234567857,0.03808935185185186,0.013953240740740743,0.021987962962962956,-0.20679012345679007,-0.3040123456790123,-0.12499999999999999,0.11574074074074074,0.05092592592592592,0.07407407407407407,-0.04320987654320989,-0.11882716049382715,0.0324074074074074,0.1111111111111111,0.041666666666666664,0.07407407407407407,-0.03395061728395062,-0.1111111111111111,0.03861882716049361,0.1111111111111111,0.041666666666666664,0.07407407407407407,216,0.06706342592592593,0.12619999999999998,0.06706342592592593,0.12619999999999998,0.06706342592592593,0.12619999999999998,0.125,0.0787037037037037,0.17592592592592593,0.125,0.0787037037037037,0.17592592592592593,0.125,0.0787037037037037,0.17592592592592593,0.7183641975308641,0.25771604938271603,0.3614343767401042,0.7183641975308641,0.36959876543209874,0.5134680851420618,0.7183641975308641,0.3294753086419753,0.4647173822590918
llama31_instruct,h2_choice,65,main_perp,54,-0.12189429012345679,-0.1380482908950617,-0.10602316358024691,0.0652865740740741,0.022677314814814817,0.04052685185185185,-0.009623919753086418,-0.031032291666666677,0.011727712191358035,0.04148981481481481,0.01670601851851852,0.023023148148148157,-0.015137808641975302,-0.035740636574074065,0.006161820987654303,0.04148981481481481,0.01670601851851852,0.023023148148148157,-0.23148148148148143,-0.3179012345679012,-0.14660493827160492,0.14351851851851852,0.041666666666666664,0.09259259259259259,-0.03703703703703703,-0.11269290123456792,0.041666666666666685,0.125,0.041666666666666664,0.09259259259259259,-0.006172839506172839,-0.08796296296296292,0.06639660493827142,0.125,0.041666666666666664,0.09259259259259259,216,0.08080972222222223,0.15512500000000004,0.08080972222222223,0.15512500000000004,0.08080972222222223,0.15512500000000004,0.14351851851851852,0.09722222222222222,0.18981481481481483,0.14351851851851852,0.09722222222222222,0.19456018518518456,0.14351851851851852,0.09722222222222222,0.19907407407407407,0.722222222222222,0.20138888888888892,0.279707257237787,0.722222222222222,0.3541666666666667,0.484199053933746,0.722222222222222,0.3256172839506173,0.4503423119930688
llama31_instruct,h2_choice,65,random,54,0.16323009259259255,0.14993750000000003,0.17749120370370364,0.084425,0.04937407407407408,0.03439027777777778,0.029277006172839508,0.013906161265432107,0.0443781790123457,0.03612824074074075,0.015026851851851852,0.0186587962962963,0.02212854938271605,0.004188746141975308,0.03760102237654319,0.03612824074074075,0.015026851851851849,0.0186587962962963,0.27314814814814814,0.18672839506172836,0.3641975308641975,0.14814814814814814,0.08796296296296297,0.05555555555555555,0.10956790123456789,0.027739197530864176,0.18831018518518494,0.125,0.08796296296296297,0.037037037037037035,0.026234567901234556,-0.05868055555555556,0.11419753086419754,0.125,0.08796296296296297,0.037037037037037035,216,0.09138333333333334,0.18439999999999995,0.09138333333333334,0.18439999999999995,0.09138333333333334,0.18439999999999995,0.14814814814814814,0.10648148148148148,0.19907407407407407,0.14814814814814814,0.09722222222222222,0.19907407407407407,0.14814814814814814,0.09722222222222222,0.19907407407407407,0.7114197530864197,0.5709876543209877,0.8059412312228789,0.7114197530864197,0.3726851851851852,0.528987262148597,0.7114197530864197,0.3850308641975309,0.5430339301985329
llama31_instruct,h2_choice,79,main,54,-1.2191708333333333,-1.258912739197531,-1.1768435532407406,0.5897476851851852,0.2626930555555556,0.32705462962962956,-0.08757361111111107,-0.11813933256172837,-0.0576064274691358,0.09501805555555558,0.07287638888888888,0.05150648148148148,-0.02097114197530864,-0.055912773919753085,0.01654658564814816,0.09501805555555556,0.07287638888888888,0.05150648148148148,-1.8641975308641974,-1.993827160493827,-1.7345293209876544,0.8796296296296297,0.3101851851851852,0.5694444444444444,-0.32098765432098764,-0.4413580246913579,-0.20212191358024711,0.4074074074074074,0.22685185185185186,0.24537037037037038,-0.11111111111111115,-0.25925925925925924,0.030864197530864154,0.4074074074074074,0.22685185185185186,0.24537037037037038,216,0.5897476851851852,0.687325,0.5897476851851852,0.687325,0.5897476851851852,0.687325,0.8796296296296297,0.8240740740740741,0.9351851851851852,0.8796296296296297,0.8240740740740741,0.9351851851851852,0.8796296296296297,0.8240740740740741,0.9351851851851852,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5
