model,mode,steer_layer,variant,game_code,counterbalance_id,range_letter,range_act0,range_canon,flip_letter,flip_action,flip_canon,family,wave
llama31_instruct,h1_dinc,65,main,AsAs,0,0.8096,0.8096,0.8096,1,1,1,CO1,1
llama31_instruct,h1_dinc,65,main,AsAs,1,0.745,0.745,0.745,1,1,1,CO1,1
llama31_instruct,h1_dinc,65,main,AsAs,2,0.6643,0.6643,0.6643,1,1,1,CO1,1
llama31_instruct,h1_dinc,65,main,AsAs,3,0.656,0.656,0.656,1,1,1,CO1,1
llama31_instruct,h1_dinc,65,main,AsBa,0,0.8196,0.8196,0.8196,1,1,1,MP,2
llama31_instruct,h1_dinc,65,main,AsBa,1,0.7339,0.7339,0.7339,1,1,1,MP,2
llama31_instruct,h1_dinc,65,main,AsBa,2,0.6918,0.6918,0.6918,1,1,1,MP,2
llama31_instruct,h1_dinc,65,main,AsBa,3,0.679,0.679,0.679,1,1,1,MP,2
llama31_instruct,h1_dinc,65,main,AsCh,0,0.8296,0.8296,0.8296,1,1,1,MP,4
llama31_instruct,h1_dinc,65,main,AsCh,1,0.7864,0.7864,0.7864,1,1,1,MP,4
llama31_instruct,h1_dinc,65,main,AsCh,2,0.7237,0.7237,0.7237,1,1,1,MP,4
llama31_instruct,h1_dinc,65,main,AsCh,3,0.6822,0.6822,0.6822,1,1,1,MP,4
llama31_instruct,h1_dinc,65,main,AsCm,0,0.764,0.764,0.764,1,1,1,OD1,2
llama31_instruct,h1_dinc,65,main,AsCm,1,0.7013,0.7013,0.7013,1,1,1,OD1,2
llama31_instruct,h1_dinc,65,main,AsCm,2,0.5073,0.5073,0.5073,1,1,1,OD1,2
llama31_instruct,h1_dinc,65,main,AsCm,3,0.4788,0.4788,0.4788,1,1,1,OD1,2
llama31_instruct,h1_dinc,65,main,AsCo,0,0.8173,0.8173,0.8173,1,1,1,CO2,1
llama31_instruct,h1_dinc,65,main,AsCo,1,0.745,0.745,0.745,1,1,1,CO2,1
