model,mode,steer_layer,variant,game_code,d_letter_slope,d_letter_range,d_letter_at_pos025,d_letter_at_neg025,d_act0_slope,d_act0_range,d_act0_at_pos025,d_act0_at_neg025,d_canon_slope,d_canon_range,d_canon_at_pos025,d_canon_at_neg025,d_beh_letter_slope,d_beh_letter_range,d_beh_letter_at_pos025,d_beh_letter_at_neg025,d_beh_act0_slope,d_beh_act0_range,d_beh_act0_at_pos025,d_beh_act0_at_neg025,d_beh_canon_slope,d_beh_canon_range,d_beh_canon_at_pos025,d_beh_canon_at_neg025,wave,family,num_pure_ne,complexity_score,payoff_conflict
llama31_instruct,h1_dinc,65,main,AsAs,1.4582833333333332,0.718725,0.5002,-0.218525,0.16195,0.111725,-0.008599999999999969,-0.06717499999999997,0.16195,0.111725,-0.008599999999999969,-0.06717499999999997,2.083333333333333,1.0,1.0,0.0,0.41666666666666674,0.5,0.0,0.0,0.41666666666666674,0.5,0.0,0.0,1,CO1,2,-0.5169508502148299,0.2
llama31_instruct,h1_dinc,65,main,AsBa,1.4916999999999998,0.7310749999999999,0.494,-0.23707499999999998,0.1480166666666667,0.09987499999999999,-0.01069999999999996,-0.05637499999999998,-0.1480166666666666,0.09987499999999999,0.01069999999999996,0.05637499999999995,2.1666666666666665,1.0,1.0,0.0,0.5,0.5,0.0,0.0,-0.5,0.5,0.0,0.0,2,MP,0,0.5678259637502947,1.7999999999999998
llama31_instruct,h1_dinc,65,main,AsCh,1.5439166666666664,0.755475,0.517725,-0.23775,0.15571666666666664,0.0957,-0.021425,-0.07395,-0.15571666666666661,0.09569999999999998,0.021424999999999972,0.07394999999999996,1.9999999999999998,1.0,1.0,0.0,0.33333333333333337,0.5,0.0,0.0,-0.33333333333333337,0.5,0.0,0.0,4,MP,0,0.3368858560744445,1.4
llama31_instruct,h1_dinc,65,main,AsCm,1.260375,0.61285,0.36645,-0.2464,0.3207416666666666,0.20732499999999998,-0.038299999999999945,-0.15809999999999996,-0.3207416666666667,0.20732499999999998,0.038299999999999945,0.15809999999999996,2.1666666666666665,1.0,0.5,-0.5,0.49999999999999994,0.5,-0.5,-0.5,-0.49999999999999994,0.5,0.5,0.5,2,OD1,1,0.7408346464128569,1.7999999999999998
llama31_instruct,h1_dinc,65,main,AsCo,1.4496333333333333,0.715,0.48945,-0.22555,0.20090000000000002,0.16112500000000002,-0.03369999999999995,-0.09984999999999998,0.20090000000000002,0.16112500000000002,-0.03369999999999995,-0.09984999999999998,2.1666666666666665,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1,CO2,2,-0.6035533905932737,0.0
llama31_instruct,h1_dinc,65,main,AsDl,1.4412083333333334,0.7079,0.508725,-0.199175,0.21440833333333337,0.1378,-0.005024999999999946,-0.08812499999999997,-0.2144083333333333,0.1378,0.005024999999999946,0.08812499999999998,1.9999999999999998,1.0,1.0,0.0,0.33333333333333337,0.5,0.0,0.0,-0.33333333333333337,0.5,0.0,0.0,4,OD1,1,0.5098945387370066,1.4
llama31_instruct,h1_dinc,65,main,AsHa,1.5151583333333332,0.745275,0.507225,-0.23804999999999998,0.12840833333333343,0.08070000000000002,0.007575000000000026,-0.038450000000000026,0.12840833333333343,0.08070000000000002,0.007575000000000026,-0.038450000000000026,1.9999999999999998,1.0,1.0,0.0,0.33333333333333337,0.5,0.0,0.0,0.33333333333333337,0.5,0.0,0.0,1,OD2,1,0.048014323385306,0.6000000000000001
llama31_instruct,h1_dinc,65,main,AsHr,1.4697666666666664,0.7159249999999999,0.440775,-0.27515,0.1404,0.16812500000000002,-0.10132499999999997,-0.13834999999999997,-0.1404,0.16812500000000002,0.10132499999999997,0.13834999999999997,2.1666666666666665,1.0,0.5,-0.5,0.49999999999999994,0.5,-0.5,-0.5,-0.49999999999999994,0.5,0.5,0.5,6,MP,0,0.68329601758822,2.0
llama31_instruct,h1_dinc,65,main,AsNc,1.4115583333333332,0.6931499999999999,0.506525,-0.18662499999999999,0.21217500000000009,0.131475,0.0040250000000000286,-0.07582500000000002,0.21217500000000009,0.131475,0.0040250000000000286,-0.07582500000000002,1.9999999999999998,1.0,1.0,0.0,0.33333333333333337,0.5,0.0,0.0,0.33333333333333337,0.5,0.0,0.0,3,OD2,1,0.1634843772232312,0.8
llama31_instruct,h1_dinc,65,main,AsPc,1.5517750000000001,0.7556,0.4982,-0.2574,0.10009166666666663,0.098825,-0.046500000000000014,-0.07545,0.10009166666666663,0.098825,-0.046500000000000014,-0.07545,2.1666666666666665,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,5,OD2,1,-0.1829257842905442,0.2
llama31_instruct,h1_dinc,65,main,AsPd,1.3490749999999998,0.6646000000000001,0.451925,-0.212675,0.32810833333333345,0.16874999999999996,0.0006750000000000228,-0.13442500000000002,-0.32810833333333334,0.16874999999999996,-0.0006750000000000367,0.134425,2.083333333333333,1.0,1.0,0.0,0.41666666666666674,0.5,0.0,0.0,-0.41666666666666674,0.5,0.0,0.0,6,OD1,1,0.3944244848990815,1.2
llama31_instruct,h1_dinc,65,main,AsSh,1.3472416666666667,0.677075,0.5392,-0.137875,0.15920833333333337,0.0766,0.03920000000000007,-0.029924999999999966,0.15920833333333337,0.0766,0.03920000000000007,-0.029924999999999966,1.8333333333333335,1.0,1.0,0.0,0.16666666666666669,0.25,0.0,0.0,0.16666666666666669,0.25,0.0,0.0,3,CO1,2,-0.3437457694579421,0.6000000000000001
llama31_instruct,h1_dinc,65,main,BaAs,1.5217166666666666,0.737975,0.39275,-0.345225,-0.01620000000000007,0.10509999999999997,0.10509999999999997,0.104625,-0.01620000000000007,0.10509999999999997,0.10509999999999997,0.104625,2.2499999999999996,1.0,0.5,-0.5,-0.08333333333333309,0.5,0.5,0.5,-0.08333333333333309,0.5,0.5,0.5,1,MP,0,0.5678259637502947,1.7999999999999998
llama31_instruct,h1_dinc,65,main,BaBa,1.589808333333333,0.76105,0.47572499999999995,-0.285325,-0.03369166666666668,0.04452499999999999,0.009974999999999984,0.026325,-0.03369166666666668,0.04452499999999999,0.009974999999999984,0.026325,2.3333333333333335,1.0,1.0,0.0,-0.16666666666666669,0.25,0.0,0.0,-0.16666666666666669,0.25,0.0,0.0,3,CO2,2,-0.0169508502148298,0.2
llama31_instruct,h1_dinc,65,main,BaCh,1.4743583333333332,0.739025,0.519325,-0.2197,-0.06174166666666667,0.05947500000000003,0.01757499999999998,0.026249999999999968,-0.06174166666666667,0.05947500000000003,0.01757499999999998,0.026249999999999968,1.9166666666666665,1.0,1.0,0.0,-0.25,0.25,0.0,0.0,-0.25,0.25,0.0,0.0,4,CO2,2,0.1562542305420579,0.6000000000000001
llama31_instruct,h1_dinc,65,main,BaCm,1.5780666666666667,0.75605,0.39855,-0.3575,-0.007533333333333354,0.055999999999999994,0.031149999999999997,0.02095000000000001,-0.007533333333333354,0.055999999999999994,0.031149999999999997,0.02095000000000001,2.4999999999999996,1.0,0.5,-0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,1,OD1,1,0.2789544310611563,1.0
llama31_instruct,h1_dinc,65,main,BaCo,1.573575,0.75705,0.332925,-0.424125,0.059775000000000064,0.11307500000000004,0.09932500000000005,0.080125,0.059775000000000064,0.11307500000000004,0.09932500000000005,0.080125,2.2499999999999996,1.0,0.25,-0.75,0.2500000000000001,0.5,0.25,0.25,0.2500000000000001,0.5,0.25,0.25,3,MP,0,0.4523559099123697,1.6
llama31_instruct,h1_dinc,65,main,BaDl,1.555116666666666,0.749575,0.4687,-0.280875,0.016700000000000024,0.02285000000000001,0.008450000000000013,0.0024249999999999966,0.016700000000000024,0.02285000000000001,0.008450000000000013,0.0024249999999999966,2.3333333333333335,1.0,1.0,0.0,-0.16666666666666669,0.25,0.0,0.0,-0.16666666666666669,0.25,0.0,0.0,3,OD1,1,0.5098945387370066,1.4
