model,mode,family,mean_canon_slope,ci_lo,ci_hi,n_pos,n
llama31_instruct,h1_dinc,DD,0.09141018518518515,-0.05564053240740743,0.24081770833333324,6,9
llama31_instruct,h1_dinc,OD1,-0.11702685185185185,-0.20942203703703705,-0.03322821759259242,2,9
llama31_instruct,h1_dinc,OD2,0.07970277777777775,-0.001524398148148166,0.17083125,6,9
llama31_instruct,h1_dinc,CO1,0.10441296296296294,0.05845787037037031,0.15060856481481483,8,9
llama31_instruct,h1_dinc,CO2,0.09226111111111107,0.005813402777777753,0.18611476851851844,5,9
llama31_instruct,h1_dinc,MP,-0.06483611111111108,-0.12745486111111107,0.007850532407407474,2,9
llama31_instruct,h2_choice,DD,-0.07475925925925925,-0.10207409722222219,-0.04993178240740738,0,9
llama31_instruct,h2_choice,OD1,0.0615277777777778,0.01597893518518521,0.10275606481481485,6,9
llama31_instruct,h2_choice,OD2,-0.06709722222222224,-0.09463629629629634,-0.0439336574074074,0,9
llama31_instruct,h2_choice,CO1,-0.03852499999999997,-0.061587824074074045,-0.010863749999999981,1,9
llama31_instruct,h2_choice,CO2,-0.030017592592592582,-0.08095574074074068,0.027851018518518515,3,9
llama31_instruct,h2_choice,MP,0.05804444444444444,0.025330208333333323,0.0920632638888889,8,9
qwen,h1_dinc,DD,0.0749861111111111,0.05586731481481481,0.09018386574074072,9,9
qwen,h1_dinc,OD1,0.0067638888888888705,-0.014213310185185162,0.0319560185185185,3,9
qwen,h1_dinc,OD2,0.026114814814814796,0.0032390509259259213,0.05112726851851848,7,9
qwen,h1_dinc,CO1,-0.0024481481481481338,-0.024475995370370318,0.023174305555555573,3,9
qwen,h1_dinc,CO2,0.010599999999999998,-0.017407662037037037,0.040891041666666704,4,9
qwen,h1_dinc,MP,-0.007521296296296293,-0.026324328703703687,0.012587708333333296,3,9
qwen,h2_choice,DD,0.16322314814814814,0.14156203703703701,0.1812032407407408,9,9
qwen,h2_choice,OD1,0.005003703703703683,-0.047485486111111135,0.0627519675925926,3,9
qwen,h2_choice,OD2,0.061347222222222206,0.024914513888888875,0.10496041666666667,8,9
qwen,h2_choice,CO1,0.027322222222222244,-0.01943182870370369,0.0790436342592593,5,9
qwen,h2_choice,CO2,0.037437962962962965,-0.009350925925925908,0.08956879629629629,5,9
qwen,h2_choice,MP,-0.004638888888888877,-0.04202935185185182,0.03691138888888889,4,9
qwen_instruct,h1_dinc,DD,0.1935027777777777,0.11909347222222212,0.26475696759259243,8,9
qwen_instruct,h1_dinc,OD1,-0.036805555555555564,-0.19942483796296295,0.14084768518518517,4,9
qwen_instruct,h1_dinc,OD2,0.12925555555555557,0.029711643518518554,0.2208319907407407,7,9
qwen_instruct,h1_dinc,CO1,0.031333333333333366,-0.09465194444444439,0.15317006944444453,5,9
qwen_instruct,h1_dinc,CO2,0.028274999999999963,-0.14429349537037037,0.21509722222222222,4,9
qwen_instruct,h1_dinc,MP,-0.006440740740740729,-0.09598733796296294,0.08893597222222226,4,9
qwen_instruct,h2_choice,DD,0.03659814814814813,0.00253469907407407,0.07431840277777775,6,9
qwen_instruct,h2_choice,OD1,0.10936388888888887,-0.03462821759259262,0.24405351851851848,6,9
qwen_instruct,h2_choice,OD2,-0.11855833333333332,-0.22084277777777772,-0.010783425925925875,1,9
qwen_instruct,h2_choice,CO1,0.006779629629629618,-0.11242405092592593,0.10528131944444444,5,9
qwen_instruct,h2_choice,CO2,0.05637499999999997,-0.13123129629629632,0.2279332175925926,6,9
qwen_instruct,h2_choice,MP,0.05981296296296295,-0.04274673611111113,0.15698835648148146,6,9
