model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen,h1_dinc,65,main,AsAs,CO1,0.0,1.0080833333333337,0.500875,-0.012733333333333294,0.016625000000000015,0.0,0.0,1
qwen,h1_dinc,65,main,AsBa,MP,-0.0,1.036,0.510425,0.009316666666666642,0.02639999999999998,-0.25,0.25,1
qwen,h1_dinc,65,main,AsCh,MP,1.0,1.019775,0.5031749999999999,0.013024999999999905,0.007674999999999987,0.0,0.0,1
qwen,h1_dinc,65,main,AsCm,OD1,2.0,1.0186916666666666,0.50945,0.06480833333333333,0.04200000000000001,0.25,0.25,1
qwen,h1_dinc,65,main,AsCo,CO2,1.0,0.9971666666666663,0.496625,-0.012983333333333322,0.010000000000000037,0.08333333333333334,0.25,1
qwen,h1_dinc,65,main,AsDl,OD1,2.0,1.0607416666666667,0.5207,0.022274999999999958,0.022400000000000003,0.25,0.5,1
qwen,h1_dinc,65,main,AsHa,OD2,2.0,1.0288249999999999,0.509175,0.011291666666666594,0.010974999999999943,0.25,0.25,1
qwen,h1_dinc,65,main,AsHr,MP,2.0,1.0396333333333334,0.5100250000000001,0.01801666666666667,0.015100000000000002,0.5833333333333334,0.25,1
qwen,h1_dinc,65,main,AsNc,OD2,0.0,1.0209416666666666,0.5070250000000001,-0.01822500000000006,0.01579999999999998,0.0,0.0,1
qwen,h1_dinc,65,main,AsPc,OD2,2.0,1.0097583333333333,0.508875,-0.06637499999999998,0.03689999999999999,0.0,0.0,1
qwen,h1_dinc,65,main,AsPd,OD1,2.0,1.0829833333333332,0.530775,-0.0067166666666666226,0.025449999999999973,0.5833333333333334,0.25,1
qwen,h1_dinc,65,main,AsSh,CO1,0.0,1.0254083333333333,0.50715,-0.013324999999999974,0.019424999999999998,0.08333333333333334,0.25,1
qwen,h1_dinc,65,main,BaAs,MP,-1.0,1.0013833333333335,0.49350000000000005,-0.01543333333333331,0.024150000000000005,-0.08333333333333334,0.25,1
qwen,h1_dinc,65,main,BaBa,CO2,1.0,1.0804916666666664,0.537575,-0.007008333333333355,0.028874999999999998,-0.7499999999999997,0.5,1
qwen,h1_dinc,65,main,BaCh,CO2,1.0,1.0241,0.5061249999999999,-0.0040833333333334014,0.017424999999999996,-0.08333333333333329,0.25,1
qwen,h1_dinc,65,main,BaCm,OD1,2.0,1.0349666666666666,0.5090749999999999,-0.01804999999999997,0.02355,-0.1666666666666663,0.25,1
qwen,h1_dinc,65,main,BaCo,MP,-1.0,1.0571916666666668,0.52075,-0.01294166666666664,0.03392500000000001,-0.25,0.25,1
qwen,h1_dinc,65,main,BaDl,OD1,2.0,1.0433833333333336,0.5181,-0.01343333333333329,0.012999999999999998,-0.6666666666666665,0.25,1
qwen,h1_dinc,65,main,BaHa,OD2,2.0,1.0429499999999996,0.5113,0.04343333333333328,0.03312499999999999,0.25,0.25,1
qwen,h1_dinc,65,main,BaHr,CO1,2.0,1.0801249999999998,0.529325,-0.021274999999999985,0.026800000000000032,-0.1666666666666663,0.25,1
qwen,h1_dinc,65,main,BaNc,OD2,-0.0,1.0570749999999998,0.51685,0.0027750000000000812,0.009825000000000028,-0.25,0.25,1
qwen,h1_dinc,65,main,BaPc,OD2,2.0,1.057275,0.5146999999999999,-0.009441666666666718,0.01872500000000002,-1.4332917616497527e-16,0.25,1
qwen,h1_dinc,65,main,BaPd,OD1,2.0,1.0231833333333331,0.510725,-0.03433333333333337,0.026074999999999987,-0.6666666666666665,0.25,1
qwen,h1_dinc,65,main,BaSh,MP,0.0,0.9801583333333332,0.4882,-0.013441666666666649,0.01762500000000003,-0.08333333333333334,0.25,1
qwen,h1_dinc,65,main,ChAs,MP,0.0,1.0314833333333333,0.5072000000000001,-0.04883333333333331,0.04085,-0.25,0.25,1
qwen,h1_dinc,65,main,ChBa,CO2,0.5,1.0299833333333333,0.50425,-0.08555000000000004,0.060825000000000004,-0.25,0.5,1
qwen,h1_dinc,65,main,ChCh,CO2,0.5,1.0505916666666664,0.5180749999999998,-0.02935833333333335,0.020400000000000057,-0.25,0.25,1
qwen,h1_dinc,65,main,ChCm,OD1,1.0,1.0477666666666665,0.5146,-0.03956666666666668,0.03982500000000001,-0.25,0.5,1
qwen,h1_dinc,65,main,ChCo,MP,-0.5,1.0454583333333336,0.51885,-0.018374999999999975,0.032950000000000035,-0.1666666666666663,0.25,1
qwen,h1_dinc,65,main,ChDl,OD1,1.0,1.0324999999999998,0.5022,-0.04671666666666667,0.04527499999999998,-0.25,0.5,1
qwen,h1_dinc,65,main,ChHa,OD2,1.0,1.0470749999999998,0.5123249999999999,0.026158333333333315,0.03464999999999996,0.25,0.5,1
qwen,h1_dinc,65,main,ChHr,CO1,1.0,1.0850583333333335,0.53105,-0.05529166666666673,0.052025000000000016,-0.24999999999999972,0.5,1
qwen,h1_dinc,65,main,CmAs,OD1,2.0,0.9923666666666667,0.4893,0.05938333333333336,0.07625000000000004,0.16666666666666657,0.5,1
qwen,h1_dinc,65,main,CmCm,DD,1.0,0.9442083333333333,0.47195,0.07892499999999993,0.09257500000000002,0.0,0.5,1
qwen,h1_dinc,65,main,CmDl,DD,1.0,0.9972916666666665,0.495425,0.101525,0.08947500000000005,0.16666666666666657,0.5,1
qwen,h1_dinc,65,main,CmHa,DD,3.0,0.9574333333333335,0.4696,0.09703333333333337,0.09022500000000003,0.5833333333333331,0.5,1
qwen,h1_dinc,65,main,CmNc,DD,2.5,0.9872916666666669,0.4888,0.06919166666666658,0.07869999999999999,-2.8665835232995054e-16,0.5,1
qwen,h1_dinc,65,main,CoAs,CO2,1.0,0.9613083333333332,0.4809,0.057374999999999975,0.041950000000000015,0.4166666666666666,0.5,1
qwen,h1_dinc,65,main,CoCo,CO1,1.0,1.01905,0.50025,0.0843333333333333,0.04827500000000001,0.5,0.5,1
qwen,h1_dinc,65,main,CoSh,CO2,1.0,0.9839916666666667,0.49012500000000003,0.05874166666666662,0.062475,0.5,0.5,1
qwen,h1_dinc,65,main,HaAs,OD2,2.0,0.9697499999999999,0.4798,0.10229999999999995,0.08759999999999998,0.33333333333333315,0.5,1
qwen,h1_dinc,65,main,HaBa,OD2,2.0,0.9953416666666663,0.5008,0.057858333333333255,0.071775,0.16666666666666657,0.5,1
qwen,h1_dinc,65,main,HaCm,DD,2.0,1.0340999999999998,0.507575,0.03455000000000003,0.045774999999999996,0.16666666666666657,0.5,1
qwen,h1_dinc,65,main,HaDl,DD,2.0,1.0200833333333332,0.509125,0.06785,0.06464999999999999,-2.8665835232995054e-16,0.5,1
qwen,h1_dinc,65,main,HaHa,DD,2.0,1.002033333333333,0.49129999999999996,0.07288333333333322,0.07934999999999995,0.24999999999999972,0.5,1
qwen,h1_dinc,65,main,HaNc,DD,2.0,0.9897333333333331,0.491625,0.08226666666666667,0.081175,0.16666666666666657,0.5,1
qwen,h1_dinc,65,main,HaPc,DD,2.0,0.9829083333333332,0.49460000000000004,0.0744916666666666,0.07490000000000001,0.16666666666666657,0.5,1
qwen,h1_dinc,65,main,HrAs,MP,1.0,1.0746916666666666,0.5237,0.05304166666666668,0.05835000000000001,0.1666666666666663,0.25,1
qwen,h1_dinc,65,main,HrBa,CO1,-1.0,1.0339416666666668,0.506025,0.04270833333333328,0.062299999999999994,0.08333333333333286,0.5,1
qwen,h1_dinc,65,main,HrCh,CO1,-1.0,1.013225,0.500925,0.09339166666666655,0.08644999999999994,0.8333333333333328,0.5,1
qwen,h1_dinc,65,main,HrHr,CO2,-1.0,1.0620166666666666,0.517725,0.04961666666666663,0.06617500000000001,0.08333333333333286,0.5,1
qwen,h1_dinc,65,main,ShAs,CO1,0.0,1.014066666666667,0.5016,-0.004466666666666707,0.008025000000000004,-0.16666666666666669,0.25,1
qwen,h1_dinc,65,main,ShCo,CO2,1.0,0.9510166666666667,0.475,-0.030249999999999964,0.018149999999999986,0.0,0.0,1
qwen,h1_dinc,65,main,ShSh,CO1,0.0,1.05965,0.52,-0.0497333333333333,0.02817499999999999,0.0,0.0,1
qwen,h1_dinc,65,main_perp,AsAs,CO1,0.0,1.0035833333333333,0.487275,-0.021633333333333338,0.023299999999999987,0.0,0.0,1
qwen,h1_dinc,65,main_perp,AsBa,MP,-0.0,1.0147166666666667,0.50025,-0.023266666666666654,0.031299999999999994,-0.25,0.25,1
qwen,h1_dinc,65,main_perp,AsCh,MP,1.0,1.00825,0.505625,-0.015133333333333299,0.015074999999999977,0.0,0.0,1
