model,layer,ref,scope,true_mean,perm_mean,diff_mean,ci_lo,ci_hi,n_games,worst_seed
qwen,65,seed_mean,DD,0.07498611111111105,0.013766049382716052,0.06122006172839499,0.04219325617283945,0.07734113425925922,9,
qwen,65,seed_mean,pooled54,0.018082561728395057,0.0007946502057613171,0.017287911522633734,0.007383445216049386,0.02797011445473248,54,
qwen,65,worst_of_3,DD,0.07498611111111105,0.09270555555555555,-0.017719444444444503,-0.029870416666666726,-0.00590412037037045,9,perm2
qwen,65,worst_of_3,pooled54,0.018082561728395057,0.0162986111111111,0.0017839506172839506,-0.005190690586419738,0.008885555555555548,54,perm2
qwen,79,seed_mean,DD,0.003430555555555556,0.00042654320987653985,0.0030040123456790153,-0.007705640432098749,0.013885787037037002,9,
qwen,79,seed_mean,pooled54,5.077160493827221e-05,-0.0009049382716049374,0.0009557098765432096,-0.003326715534979415,0.005420122170781868,54,
qwen,79,worst_of_3,DD,0.003430555555555556,0.005024074074074081,-0.0015935185185185243,-0.015175625000000007,0.012902777777777721,9,perm2
qwen,79,worst_of_3,pooled54,5.077160493827221e-05,-0.0020385802469135776,0.00208935185185185,-0.0031145100308641875,0.007362206790123452,54,perm2
qwen_instruct,65,seed_mean,DD,0.19350277777777766,-0.013577469135802496,0.20708024691358018,0.11366318672839494,0.28892811728395057,9,
qwen_instruct,65,seed_mean,pooled54,0.05652006172839504,-0.008531121399176951,0.06505118312757198,-0.006375497685185213,0.13634274562757198,54,
qwen_instruct,65,worst_of_3,DD,0.19350277777777766,0.07657314814814814,0.11692962962962951,-0.006058333333333493,0.2293317592592592,9,perm2
qwen_instruct,65,worst_of_3,pooled54,0.05652006172839504,-0.0045381172839506064,0.06105817901234564,-0.03069371913580248,0.15077435570987652,54,perm2
qwen_instruct,79,seed_mean,DD,0.000258333333333332,0.001089506172839507,-0.0008311728395061754,-0.0018075231481481076,9.143518518517875e-05,9,
qwen_instruct,79,seed_mean,pooled54,-0.00024012345679012075,0.0001744855967078242,-0.00041460905349794476,-0.003360462962962961,0.002326728395061726,54,
qwen_instruct,79,worst_of_3,DD,0.000258333333333332,0.004255555555555551,-0.003997222222222218,-0.005511180555555563,-0.0026935185185185105,9,perm0
qwen_instruct,79,worst_of_3,pooled54,-0.00024012345679012075,0.0017692901234567968,-0.0020094135802469176,-0.005238097993827161,0.0012655941358024412,54,perm0
llama31_instruct,65,seed_mean,DD,0.09141018518518512,-0.029595370370370397,0.12100555555555552,-0.0331453703703703,0.28062713734567923,9,
llama31_instruct,65,seed_mean,pooled54,0.03098734567901232,-0.0075172839506173,0.03850462962962963,-0.010902761059670762,0.08729909207818928,54,
llama31_instruct,65,worst_of_3,DD,0.09141018518518512,0.05558148148148147,0.03582870370370365,-0.09158462962962963,0.16696113425925915,9,perm0
llama31_instruct,65,worst_of_3,pooled54,0.03098734567901232,0.016010185185185176,0.014977160493827158,-0.021166099537037016,0.05400511188271604,54,perm0
llama31_instruct,79,seed_mean,DD,-0.06002592592592589,0.04756913580246913,-0.10759506172839503,-0.1253357793209877,-0.08815270833333329,9,
llama31_instruct,79,seed_mean,pooled54,-0.016421141975308626,0.01574835390946502,-0.03216949588477364,-0.04766878600823044,-0.017047974537037023,54,
llama31_instruct,79,worst_of_3,DD,-0.06002592592592589,0.10413055555555553,-0.16415648148148143,-0.1853356249999999,-0.14076578703703702,9,perm0
llama31_instruct,79,worst_of_3,pooled54,-0.016421141975308626,0.03387145061728395,-0.05029259259259258,-0.07415351851851851,-0.026771658950617266,54,perm0
