model,mode,layer,variant,component,mean_slope,ci_lo,ci_hi,n_games,pct_beh_flip
llama31_instruct,h1_dinc,65,main,letter,1.4242368827160492,1.378319556327161,1.468943414351852,54,100.0
llama31_instruct,h1_dinc,65,main,canon,0.033140277777777755,-0.012833576388888894,0.07827403163580246,54,100.0
llama31_instruct,h1_dinc,65,main,beh,0.06944444444444442,-0.02469135802469141,0.16666666666666663,54,100.0
llama31_instruct,h1_dinc,65,main_perp,letter,1.3389101851851852,1.2938567669753092,1.3839272993827159,54,100.0
llama31_instruct,h1_dinc,65,main_perp,canon,0.03098734567901233,-0.014162341820987667,0.07690055555555558,54,100.0
llama31_instruct,h1_dinc,65,main_perp,beh,0.05246913580246914,-0.06944444444444439,0.17592592592592593,54,100.0
llama31_instruct,h1_dinc,65,random,letter,0.16323009259259255,0.14954937499999998,0.1772094367283951,54,81.48148148148148
llama31_instruct,h1_dinc,65,random,canon,0.02212854938271605,0.005426250000000001,0.038487237654321,54,81.48148148148148
llama31_instruct,h1_dinc,65,random,beh,0.026234567901234553,-0.05405092592592594,0.10802469135802469,54,81.48148148148148
llama31_instruct,h1_dinc,79,main,letter,2.5934376543209874,2.5863627391975315,2.600398973765432,54,100.0
llama31_instruct,h1_dinc,79,main,canon,0.003155864197530833,-0.0032754861111111127,0.009542997685185165,54,100.0
llama31_instruct,h1_dinc,79,main,beh,-7.914649736504089e-17,-0.00617283950617296,0.007716049382715994,54,100.0
llama31_instruct,h1_dinc,79,main_perp,letter,0.012267438271604925,0.005135574845679002,0.019282943672839496,54,70.37037037037037
llama31_instruct,h1_dinc,79,main_perp,canon,-0.016421141975308643,-0.025301635802469153,-0.007381724537037024,54,70.37037037037037
llama31_instruct,h1_dinc,79,main_perp,beh,0.02932098765432099,-0.00617283950617284,0.06790123456790124,54,70.37037037037037
llama31_instruct,h1_dinc,79,random,letter,-0.8062195987654319,-0.835109737654321,-0.7758537885802466,54,100.0
llama31_instruct,h1_dinc,79,random,canon,-0.01752824074074075,-0.04562476851851853,0.011080123456790129,54,100.0
llama31_instruct,h1_dinc,79,random,beh,-0.13580246913580243,-0.31481481481481477,0.04012345679012342,54,100.0
llama31_instruct,h2_choice,65,main,letter,-0.08156913580246912,-0.09817218749999998,-0.06573261574074071,54,77.77777777777779
llama31_instruct,h2_choice,65,main,canon,-0.013839197530864199,-0.030063611111111114,0.0031169560185185198,54,77.77777777777779
llama31_instruct,h2_choice,65,main,beh,-0.03395061728395063,-0.11265432098765434,0.04012345679012345,54,77.77777777777779
llama31_instruct,h2_choice,65,main_perp,letter,-0.12189429012345677,-0.13886135416666665,-0.10624537808641973,54,81.48148148148148
llama31_instruct,h2_choice,65,main_perp,canon,-0.015137808641975302,-0.03536059413580247,0.00569461419753086,54,81.48148148148148
llama31_instruct,h2_choice,65,main_perp,beh,-0.006172839506172846,-0.08641975308641972,0.07098765432098764,54,81.48148148148148
llama31_instruct,h2_choice,65,random,letter,0.16323009259259255,0.1490717978395062,0.17676042824074076,54,81.48148148148148
llama31_instruct,h2_choice,65,random,canon,0.02212854938271605,0.004689405864197533,0.03837412808641977,54,81.48148148148148
llama31_instruct,h2_choice,65,random,beh,0.026234567901234553,-0.060185185185185196,0.11269290123456804,54,81.48148148148148
llama31_instruct,h2_choice,79,main,letter,-1.2191708333333333,-1.2583047878086417,-1.1782936226851852,54,100.0
llama31_instruct,h2_choice,79,main,canon,-0.02097114197530863,-0.05850618827160492,0.016542970679012347,54,100.0
llama31_instruct,h2_choice,79,main,beh,-0.11111111111111115,-0.2484567901234568,0.03240740740740739,54,100.0
llama31_instruct,h2_choice,79,main_perp,letter,0.012370061728395061,0.00802930169753087,0.016826072530864187,54,70.37037037037037
llama31_instruct,h2_choice,79,main_perp,canon,-0.00752716049382715,-0.011950007716049354,-0.003110582561728385,54,70.37037037037037
