model,mode,family,mean_canon_slope,ci_lo,ci_hi,n_pos,n
llama31_instruct,h1_dinc,DD,0.08485648148148145,-0.06206835648148148,0.23412780092592594,5,9
llama31_instruct,h1_dinc,OD1,-0.10621203703703704,-0.19085465277777777,-0.026815787037037023,2,9
llama31_instruct,h1_dinc,OD2,0.07398888888888891,-0.009480347222222192,0.16427043981481484,7,9
llama31_instruct,h1_dinc,CO1,0.10259814814814816,0.049245833333333336,0.15497009259259262,7,9
llama31_instruct,h1_dinc,CO2,0.09724907407407406,0.012895347222222206,0.19254101851851857,5,9
llama31_instruct,h1_dinc,MP,-0.059013888888888845,-0.12016916666666663,0.0048710416666667,3,9
llama31_instruct,h2_choice,DD,-0.14304444444444447,-0.1974442361111111,-0.09119398148148149,0,9
llama31_instruct,h2_choice,OD1,0.0951222222222222,0.01980206018518522,0.17365812499999997,7,9
llama31_instruct,h2_choice,OD2,-0.10089537037037039,-0.1499407407407407,-0.06328854166666668,0,9
llama31_instruct,h2_choice,CO1,-0.09248981481481482,-0.14134886574074074,-0.03659969907407405,1,9
llama31_instruct,h2_choice,CO2,-0.08699629629629627,-0.17135613425925922,-0.00022819444444436592,2,9
llama31_instruct,h2_choice,MP,0.10983703703703702,0.05866754629629629,0.15769259259259258,8,9
qwen,h1_dinc,DD,0.060156481481481436,0.04419113425925923,0.07563576388888885,9,9
qwen,h1_dinc,OD1,0.002119444444444419,-0.018748541666666677,0.022559259259259216,4,9
qwen,h1_dinc,OD2,0.01918981481481482,-2.377314814812377e-05,0.04105648148148146,6,9
qwen,h1_dinc,CO1,-0.0022611111111110957,-0.021358171296296295,0.019915046296296333,3,9
qwen,h1_dinc,CO2,-0.00042314814814814743,-0.020873935185185197,0.01980041666666666,3,9
qwen,h1_dinc,MP,-0.007077777777777763,-0.022415486111111077,0.008247222222222239,2,9
qwen,h2_choice,DD,0.1306564814814815,0.11130789351851857,0.14924587962962965,9,9
qwen,h2_choice,OD1,0.007975925925925918,-0.033263888888888905,0.056482407407407384,4,9
qwen,h2_choice,OD2,0.05175648148148149,0.02648863425925927,0.07951178240740743,8,9
qwen,h2_choice,CO1,0.022297222222222208,-0.015330023148148146,0.05934930555555552,7,9
qwen,h2_choice,CO2,0.031163888888888894,-0.005339143518518499,0.07101627314814814,5,9
qwen,h2_choice,MP,0.008540740740740741,-0.018051874999999988,0.03848550925925929,4,9
qwen_instruct,h1_dinc,DD,0.2364296296296296,0.162268125,0.3035783564814814,9,9
qwen_instruct,h1_dinc,OD1,-0.04480277777777778,-0.21779275462962963,0.139693888888889,4,9
qwen_instruct,h1_dinc,OD2,0.15151111111111107,0.053903888888888835,0.24733837962962957,7,9
qwen_instruct,h1_dinc,CO1,0.03334814814814818,-0.11253238425925914,0.1754046296296297,5,9
qwen_instruct,h1_dinc,CO2,0.024420370370370387,-0.16596101851851844,0.22344657407407412,4,9
qwen_instruct,h1_dinc,MP,-0.006448148148148132,-0.10362613425925925,0.09880219907407413,4,9
qwen_instruct,h2_choice,DD,-0.05500277777777776,-0.0829355324074074,-0.022551990740740737,2,9
qwen_instruct,h2_choice,OD1,0.1257703703703704,-0.05998432870370363,0.2978126620370371,5,9
qwen_instruct,h2_choice,OD2,-0.1710509259259259,-0.2676240509259259,-0.07090499999999997,2,9
qwen_instruct,h2_choice,CO1,-0.006100925925925888,-0.16027303240740737,0.13486608796296318,4,9
qwen_instruct,h2_choice,CO2,0.07016574074074074,-0.14570518518518516,0.273415300925926,5,9
qwen_instruct,h2_choice,MP,0.09789444444444444,-0.040033333333333344,0.22671057870370367,6,9
