model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen,h1_dinc,65,main,AsAs,CO1,0.0,1.1206249999999998,0.558975,-0.02942500000000003,0.022349999999999995,-0.08333333333333334,0.25,1
qwen,h1_dinc,65,main,AsBa,MP,-0.0,1.1156166666666665,0.552475,0.002933333333333305,0.021574999999999983,-0.24999999999999997,0.25,1
qwen,h1_dinc,65,main,AsCh,MP,-0.0,1.130625,0.5595,-0.0080916666666666,0.014999999999999986,0.0,0.0,1
qwen,h1_dinc,65,main,AsCm,OD1,-0.0,1.1238833333333333,0.556425,0.07741666666666666,0.056075000000000014,0.33333333333333337,0.5,1
qwen,h1_dinc,65,main,AsCo,CO2,0.0,1.09575,0.5405,-0.03133333333333334,0.02510000000000004,0.08333333333333334,0.25,1
qwen,h1_dinc,65,main,AsDl,OD1,-0.0,1.1141166666666666,0.5481,0.04494999999999999,0.031624999999999986,0.08333333333333334,0.25,1
qwen,h1_dinc,65,main,AsHa,OD2,0.0,1.1306166666666668,0.558525,0.001766666666666593,0.02975,0.33333333333333337,0.5,1
qwen,h1_dinc,65,main,AsHr,MP,-0.0,1.1302583333333331,0.5522499999999999,0.023691666666666607,0.014575000000000005,0.6666666666666667,0.25,1
qwen,h1_dinc,65,main,AsNc,OD2,0.0,1.1061750000000004,0.5502750000000001,-0.04927499999999997,0.0223,0.0,0.0,1
qwen,h1_dinc,65,main,AsPc,OD2,0.0,1.1239999999999999,0.5554749999999999,-0.02221666666666666,0.01242500000000002,0.16666666666666669,0.25,1
qwen,h1_dinc,65,main,AsPd,OD1,-0.0,1.150583333333333,0.55985,0.016533333333333334,0.014174999999999993,0.0833333333333334,0.25,1
qwen,h1_dinc,65,main,AsSh,CO1,0.0,1.1229833333333332,0.5563750000000001,0.002949999999999948,0.014850000000000002,0.0,0.0,1
qwen,h1_dinc,65,main,BaAs,MP,0.0,1.0982499999999997,0.5396,-0.0054333333333333724,0.027800000000000033,-0.08333333333333334,0.25,1
qwen,h1_dinc,65,main,BaBa,CO2,0.0,1.1624666666666665,0.575975,-0.010883333333333372,0.03637500000000002,-0.4166666666666666,0.5,1
