model,layer,ref,scope,true_mean,perm_mean,diff_mean,ci_lo,ci_hi,n_games,worst_seed
qwen,65,seed_mean,DD,0.0601564814814814,-0.08498950617283951,0.1451459876543209,0.11820096450617278,0.17025506944444432,9,
qwen,65,seed_mean,pooled54,0.011950617283950605,-0.017366255144032918,0.029316872427983524,0.007217065329218113,0.052745473251028775,54,
qwen,65,worst_of_3,DD,0.0601564814814814,0.005613888888888895,0.05454259259259251,0.03526069444444435,0.07276317129629611,9,perm1
qwen,65,worst_of_3,pooled54,0.011950617283950605,0.005078549382716051,0.0068720679012345565,-0.003842731481481489,0.018637449845678982,54,perm1
qwen,79,seed_mean,DD,0.0006657407407407112,-0.0010577160493827258,0.0017234567901234375,-0.010145702160493856,0.01470100308641973,9,
qwen,79,seed_mean,pooled54,0.0010240740740740713,-0.002295781893004115,0.0033198559670781867,-0.00036744598765431114,0.007257745627572016,54,
qwen,79,worst_of_3,DD,0.0006657407407407112,0.002907407407407397,-0.002241666666666685,-0.012335625000000003,0.009616342592592524,9,perm0
qwen,79,worst_of_3,pooled54,0.0010240740740740713,0.0031094135802469214,-0.00208533950617285,-0.00663225308641975,0.0028187229938271643,54,perm0
qwen_instruct,65,seed_mean,DD,0.23642962962962955,-0.19455617283950616,0.4309858024691357,0.3516887885802468,0.5064240509259259,9,
qwen_instruct,65,seed_mean,pooled54,0.06574305555555554,-0.04234423868312757,0.1080872942386831,-0.02211204346707816,0.2353659362139917,54,
qwen_instruct,65,worst_of_3,DD,0.23642962962962955,-0.18464074074074074,0.42107037037037026,0.3630577777777777,0.47493925925925917,9,perm2
qwen_instruct,65,worst_of_3,pooled54,0.06574305555555554,-0.032709259259259264,0.0984523148148148,-0.01665117669753086,0.20641907793209874,54,perm2
qwen_instruct,79,seed_mean,DD,-0.0011731481481481716,0.0010611111111111164,-0.0022342592592592882,-0.005475802469135804,0.00037722993827155087,9,
qwen_instruct,79,seed_mean,pooled54,0.0001845679012345672,0.0010480967078189292,-0.0008635288065843618,-0.0029605105452674783,0.0014538348765432102,54,
qwen_instruct,79,worst_of_3,DD,-0.0011731481481481716,0.0022657407407407426,-0.003438888888888914,-0.009820648148148125,0.0011518981481481035,9,perm2
qwen_instruct,79,worst_of_3,pooled54,0.0001845679012345672,0.0009924382716049323,-0.000807870370370365,-0.0038831057098765377,0.0023930979938271628,54,perm2
llama31_instruct,65,seed_mean,DD,0.08485648148148146,-0.10478179012345683,0.1896382716049383,-0.08135586419753078,0.4580562731481481,9,
llama31_instruct,65,seed_mean,pooled54,0.03224444444444445,-0.03667139917695475,0.06891584362139919,-0.018096292438271586,0.1527683179012346,54,
llama31_instruct,65,worst_of_3,DD,0.08485648148148146,-0.05876481481481488,0.14362129629629633,-0.152362986111111,0.4304352546296297,9,perm1
llama31_instruct,65,worst_of_3,pooled54,0.03224444444444445,-0.02256064814814817,0.05480509259259262,-0.032377862654320945,0.14213690586419764,54,perm1
llama31_instruct,79,seed_mean,DD,-0.04255370370370369,0.0010203703703703746,-0.04357407407407407,-0.05216091820987654,-0.03519903549382712,9,
llama31_instruct,79,seed_mean,pooled54,-0.011162654320987633,0.0012976337448559682,-0.012460288065843601,-0.020155464248971165,-0.004822196502057592,54,
llama31_instruct,79,worst_of_3,DD,-0.04255370370370369,0.09599166666666667,-0.13854537037037037,-0.14840768518518518,-0.12802569444444442,9,perm0
llama31_instruct,79,worst_of_3,pooled54,-0.011162654320987633,0.02881805555555555,-0.03998070987654319,-0.06000362268518518,-0.019858811728395053,54,perm0
