model,mode,layer,variant,component,mean_slope,ci_lo,ci_hi,n_games,pct_beh_flip
llama31_instruct,h1_dinc,65,main,letter,1.446466358024691,1.4014313194444439,1.490859047067901,54,100.0
llama31_instruct,h1_dinc,65,main,canon,0.029812037037037033,-0.015842716049382703,0.07378203317901236,54,100.0
llama31_instruct,h1_dinc,65,main,beh,0.05864197530864196,-0.02932098765432101,0.15123456790123455,54,100.0
llama31_instruct,h1_dinc,65,main_perp,letter,1.3558854938271603,1.3115798032407404,1.400151851851852,54,100.0
llama31_instruct,h1_dinc,65,main_perp,canon,0.03224444444444446,-0.011549274691358014,0.07742658179012345,54,100.0
llama31_instruct,h1_dinc,65,main_perp,beh,0.066358024691358,-0.035493827160493846,0.17592592592592593,54,100.0
llama31_instruct,h1_dinc,65,random,letter,0.16323009259259255,0.14954937499999998,0.17720943672839506,54,81.48148148148148
llama31_instruct,h1_dinc,65,random,canon,0.02212854938271605,0.00542625,0.038487237654321,54,81.48148148148148
llama31_instruct,h1_dinc,65,random,beh,0.026234567901234556,-0.05405092592592594,0.10802469135802469,54,81.48148148148148
llama31_instruct,h1_dinc,79,main,letter,2.591768055555556,2.5845564891975306,2.598811905864197,54,100.0
llama31_instruct,h1_dinc,79,main,canon,0.0031060185185184893,-0.0033922029320987974,0.0095529398148148,54,100.0
llama31_instruct,h1_dinc,79,main,beh,-0.001543209876543291,-0.006172839506172972,0.0030864197530863706,54,100.0
llama31_instruct,h1_dinc,79,main_perp,letter,0.009127469135802466,0.0038046219135802403,0.014348001543209877,54,70.37037037037037
llama31_instruct,h1_dinc,79,main_perp,canon,-0.011162654320987654,-0.017979398148148144,-0.004237569444444441,54,70.37037037037037
llama31_instruct,h1_dinc,79,main_perp,beh,-0.018518518518518514,-0.0493827160493827,0.009259259259259254,54,70.37037037037037
llama31_instruct,h1_dinc,79,random,letter,-0.8062195987654319,-0.8351097376543208,-0.7758537885802466,54,100.0
llama31_instruct,h1_dinc,79,random,canon,-0.01752824074074075,-0.04562476851851853,0.011080123456790126,54,100.0
llama31_instruct,h1_dinc,79,random,beh,-0.13580246913580243,-0.31481481481481477,0.04012345679012343,54,100.0
llama31_instruct,h2_choice,65,main,letter,-0.3357305555555556,-0.3641211535493826,-0.3080948726851851,54,94.44444444444444
llama31_instruct,h2_choice,65,main,canon,-0.04104845679012345,-0.07793165895061728,-0.005052696759259255,54,94.44444444444444
llama31_instruct,h2_choice,65,main,beh,-0.1188271604938272,-0.2685570987654321,0.03858024691358021,54,94.44444444444444
llama31_instruct,h2_choice,65,main_perp,letter,-0.34593086419753083,-0.37469500771604924,-0.31798679398148133,54,90.74074074074075
llama31_instruct,h2_choice,65,main_perp,canon,-0.036411111111111116,-0.07301161265432099,0.0011422145061728442,54,90.74074074074075
llama31_instruct,h2_choice,65,main_perp,beh,-0.10339506172839508,-0.23919753086419748,0.03240740740740739,54,90.74074074074075
llama31_instruct,h2_choice,65,random,letter,0.16323009259259255,0.1490717978395062,0.17676042824074076,54,81.48148148148148
