game_code,q_hat_p1,q_hat_p2,delta1_emp,delta1_c,delta2_emp,delta2_c,canonical_action_p1,canonical_action_p2
AsAs,0.5,0.5,0.0,0.0,0.0,-0.0,0,1
AsBa,0.5,1.0,-2.0,2.0,0.0,-0.0,1,1
AsCh,0.5,1.0,-2.0,2.0,0.0,-0.0,1,1
AsCm,1.0,1.0,-2.0,2.0,3.0,3.0,1,0
AsCo,0.5,0.0,2.0,2.0,-1.0,1.0,0,1
AsDl,0.5,1.0,-2.0,2.0,2.0,2.0,1,0
AsHa,0.5,0.0,2.0,2.0,-2.0,2.0,0,1
AsHr,1.0,1.0,-2.0,2.0,3.0,3.0,1,0
AsNc,0.5,0.25,1.0,1.0,-1.0,1.0,0,1
AsPc,0.5,0.0,2.0,2.0,-2.0,2.0,0,1
AsPd,0.5,1.0,-2.0,2.0,1.0,1.0,1,0
AsSh,0.5,0.5,0.0,0.0,0.0,-0.0,0,1
BaAs,0.0,0.5,0.0,0.0,2.0,2.0,0,0
BaBa,0.5,0.5,0.0,0.0,0.0,-0.0,0,1
BaCh,0.5,0.5,0.0,0.0,0.0,-0.0,0,1
BaCm,0.5,1.0,2.0,2.0,2.0,2.0,0,0
BaCo,0.25,0.0,-2.0,-2.0,0.0,-0.0,0,1
BaDl,0.5,1.0,2.0,2.0,2.0,2.0,0,0
BaHa,0.25,0.25,-1.0,1.0,-2.0,2.0,1,1
BaHr,0.0,1.0,2.0,2.0,-1.0,-1.0,0,0
BaNc,0.25,0.25,-1.0,1.0,-1.0,1.0,1,1
BaPc,0.25,0.0,-2.0,2.0,-1.5,1.5,1,1
BaPd,0.5,0.75,1.0,1.0,1.0,1.0,0,0
BaSh,0.25,0.5,0.0,0.0,0.5,0.5,0,0
ChAs,0.0,0.5,0.0,0.0,2.0,2.0,0,0
ChBa,0.5,0.5,0.0,0.0,0.0,-0.0,0,1
ChCh,0.75,0.25,-0.5,-0.5,0.5,-0.5,0,1
ChCm,0.75,1.0,1.0,1.0,2.5,2.5,0,0
ChCo,0.5,0.5,0.0,0.0,-1.0,1.0,0,1
ChDl,0.25,1.0,1.0,1.0,2.0,2.0,0,0
ChHa,0.0,0.0,-1.0,1.0,-2.0,2.0,1,1
ChHr,0.25,1.0,1.0,1.0,0.0,0.0,0,0
ChNc,0.0,0.5,0.0,-0.0,-1.0,1.0,1,1
ChPc,0.25,0.0,-1.0,1.0,-1.5,1.5,1,1
ChPd,0.5,1.0,1.0,1.0,1.0,1.0,0,0
ChSh,0.5,0.5,0.0,0.0,0.0,0.0,0,0
CmAs,0.0,0.0,-3.0,3.0,2.0,2.0,1,0
CmBa,0.0,0.5,-2.0,2.0,-2.0,2.0,1,1
CmCh,0.0,0.25,-2.5,2.5,-1.0,1.0,1,1
CmCm,0.0,1.0,-1.0,1.0,1.0,1.0,1,0
CmCo,0.0,0.0,-3.0,3.0,1.0,1.0,1,0
CmDl,0.0,1.0,-1.0,1.0,2.0,2.0,1,0
CmHa,0.0,0.0,-3.0,3.0,-2.0,2.0,1,1
CmHr,0.0,0.75,-1.5,1.5,-1.0,1.0,1,1
CmNc,0.0,0.5,-2.0,2.0,-1.0,1.0,1,1
CmPc,0.0,0.0,-3.0,3.0,-1.0,1.0,1,1
CmPd,0.0,0.25,-2.5,2.5,1.0,1.0,1,0
CmSh,0.0,0.0,-3.0,3.0,1.0,1.0,1,0
CoAs,1.0,0.5,1.0,1.0,-2.0,2.0,0,1
CoBa,1.0,0.75,0.0,0.0,2.0,-2.0,0,1
CoCh,0.5,0.5,1.0,1.0,0.0,-0.0,0,1
CoCm,1.0,1.0,-1.0,1.0,3.0,3.0,1,0
CoCo,1.0,0.0,3.0,3.0,-3.0,3.0,0,1
CoDl,1.0,1.0,-1.0,1.0,2.0,2.0,1,0
CoHa,0.5,0.0,3.0,3.0,-2.0,2.0,0,1
CoHr,1.0,1.0,-1.0,-1.0,3.0,3.0,0,0
CoNc,0.5,0.0,3.0,3.0,-1.0,1.0,0,1
CoPc,1.0,0.0,3.0,3.0,-3.0,3.0,0,1
CoPd,0.5,1.0,-1.0,1.0,1.0,1.0,1,0
CoSh,0.75,0.5,1.0,1.0,-0.5,0.5,0,1
DlAs,0.0,0.5,-2.0,2.0,2.0,2.0,1,0
DlBa,0.0,0.5,-2.0,2.0,-2.0,2.0,1,1
DlCh,0.0,0.75,-2.0,2.0,-1.0,1.0,1,1
DlCm,0.0,1.0,-2.0,2.0,1.0,1.0,1,0
DlCo,0.0,0.0,-2.0,2.0,1.0,1.0,1,0
DlDl,0.0,1.0,-2.0,2.0,2.0,2.0,1,0
DlHa,0.0,0.25,-2.0,2.0,-2.0,2.0,1,1
DlHr,0.0,0.75,-2.0,2.0,-1.0,1.0,1,1
DlNc,0.0,0.0,-2.0,2.0,-1.0,1.0,1,1
DlPc,0.0,0.0,-2.0,2.0,-1.0,1.0,1,1
DlPd,0.0,0.5,-2.0,2.0,1.0,1.0,1,0
DlSh,0.0,0.5,-2.0,2.0,1.0,1.0,1,0
HaAs,1.0,0.5,2.0,2.0,-2.0,2.0,0,1
HaBa,0.75,0.75,2.0,2.0,1.0,1.0,0,0
HaCh,1.0,1.0,2.0,2.0,1.0,1.0,0,0
HaCm,1.0,1.0,2.0,2.0,3.0,3.0,0,0
HaCo,1.0,0.5,2.0,2.0,-3.0,3.0,0,1
HaDl,0.75,1.0,2.0,2.0,2.0,2.0,0,0
HaHa,1.0,0.0,2.0,2.0,-2.0,2.0,0,1
HaHr,1.0,0.75,2.0,2.0,3.0,3.0,0,0
HaNc,1.0,0.0,2.0,2.0,-1.0,1.0,0,1
HaPc,1.0,0.0,2.0,2.0,-3.0,3.0,0,1
HaPd,1.0,1.0,2.0,2.0,1.0,1.0,0,0
HaSh,1.0,0.5,2.0,2.0,-1.0,1.0,0,1
HrAs,0.0,0.0,-3.0,3.0,2.0,2.0,1,0
HrBa,0.0,1.0,1.0,-1.0,-2.0,2.0,1,1
HrCh,0.0,0.75,0.0,-0.0,-1.0,1.0,1,1
HrCm,0.25,1.0,1.0,1.0,1.5,1.5,0,0
HrCo,0.0,0.0,-3.0,3.0,1.0,-1.0,1,1
HrDl,0.25,1.0,1.0,1.0,2.0,2.0,0,0
HrHa,0.25,0.0,-3.0,3.0,-2.0,2.0,1,1
HrHr,0.0,1.0,1.0,-1.0,-1.0,-1.0,1,0
HrNc,0.0,0.5,-1.0,1.0,-1.0,1.0,1,1
HrPc,0.0,0.0,-3.0,3.0,-1.0,1.0,1,1
HrPd,0.25,0.75,0.0,0.0,1.0,1.0,0,0
HrSh,0.0,0.5,-1.0,1.0,1.0,1.0,1,0
NcAs,0.75,0.5,1.0,1.0,-1.0,1.0,0,1
NcBa,0.75,0.75,1.0,1.0,1.0,1.0,0,0
NcCh,0.5,1.0,1.0,1.0,0.0,0.0,0,0
NcCm,0.5,1.0,1.0,1.0,2.0,2.0,0,0
NcCo,1.0,0.5,1.0,1.0,-3.0,3.0,0,1
NcDl,1.0,1.0,1.0,1.0,2.0,2.0,0,0
NcHa,1.0,0.0,1.0,1.0,-2.0,2.0,0,1
NcHr,0.5,1.0,1.0,1.0,1.0,1.0,0,0
NcNc,0.75,0.25,1.0,1.0,-1.0,1.0,0,1
NcPc,1.0,0.0,1.0,1.0,-3.0,3.0,0,1
NcPd,0.5,1.0,1.0,1.0,1.0,1.0,0,0
NcSh,0.75,0.5,1.0,1.0,-0.5,0.5,0,1
PcAs,1.0,0.5,2.0,2.0,-2.0,2.0,0,1
PcBa,1.0,0.75,1.5,1.5,2.0,2.0,0,0
PcCh,1.0,0.75,1.5,1.5,1.0,1.0,0,0
PcCm,1.0,1.0,1.0,1.0,3.0,3.0,0,0
PcCo,1.0,0.0,3.0,3.0,-3.0,3.0,0,1
PcDl,1.0,1.0,1.0,1.0,2.0,2.0,0,0
PcHa,1.0,0.0,3.0,3.0,-2.0,2.0,0,1
PcHr,1.0,1.0,1.0,1.0,3.0,3.0,0,0
PcNc,1.0,0.0,3.0,3.0,-1.0,1.0,0,1
PcPc,1.0,0.0,3.0,3.0,-3.0,3.0,0,1
PcPd,1.0,1.0,1.0,1.0,1.0,1.0,0,0
PcSh,1.0,0.5,2.0,2.0,-1.0,1.0,0,1
PdAs,0.0,0.5,-1.0,1.0,2.0,2.0,1,0
PdBa,0.25,0.5,-1.0,1.0,-1.0,1.0,1,1
PdCh,0.0,0.5,-1.0,1.0,-1.0,1.0,1,1
PdCm,0.75,1.0,-1.0,1.0,2.5,2.5,1,0
PdCo,0.0,0.5,-1.0,1.0,1.0,1.0,1,0
PdDl,0.5,1.0,-1.0,1.0,2.0,2.0,1,0
PdHa,0.0,0.0,-1.0,1.0,-2.0,2.0,1,1
PdHr,0.25,0.75,-1.0,1.0,0.0,-0.0,1,1
PdNc,0.0,0.5,-1.0,1.0,-1.0,1.0,1,1
PdPc,0.0,0.0,-1.0,1.0,-1.0,1.0,1,1
PdPd,0.0,1.0,-1.0,1.0,1.0,1.0,1,0
PdSh,0.0,0.5,-1.0,1.0,1.0,1.0,1,0
ShAs,0.5,0.5,0.0,0.0,0.0,-0.0,0,1
ShBa,0.5,0.75,-0.5,0.5,0.0,-0.0,1,1
ShCh,0.5,0.5,0.0,-0.0,0.0,-0.0,1,1
ShCm,1.0,1.0,-1.0,1.0,3.0,3.0,1,0
ShCo,0.5,0.25,0.5,0.5,-1.0,1.0,0,1
ShDl,0.5,1.0,-1.0,1.0,2.0,2.0,1,0
ShHa,0.5,0.0,1.0,1.0,-2.0,2.0,0,1
ShHr,0.5,1.0,-1.0,1.0,1.0,1.0,1,0
ShNc,0.5,0.25,0.5,0.5,-1.0,1.0,0,1
ShPc,0.5,0.0,1.0,1.0,-2.0,2.0,0,1
ShPd,0.5,1.0,-1.0,1.0,1.0,1.0,1,0
ShSh,0.5,0.5,0.0,0.0,0.0,-0.0,0,1
