model,mode,steer_layer,variant,game_code,d_letter_slope,d_letter_range,d_letter_at_pos025,d_letter_at_neg025,d_act0_slope,d_act0_range,d_act0_at_pos025,d_act0_at_neg025,d_canon_slope,d_canon_range,d_canon_at_pos025,d_canon_at_neg025,d_beh_letter_slope,d_beh_letter_range,d_beh_letter_at_pos025,d_beh_letter_at_neg025,d_beh_act0_slope,d_beh_act0_range,d_beh_act0_at_pos025,d_beh_act0_at_neg025,d_beh_canon_slope,d_beh_canon_range,d_beh_canon_at_pos025,d_beh_canon_at_neg025,wave,family,num_pure_ne,complexity_score,payoff_conflict
llama31_instruct,h1_dinc,79,main,CmAs,2.5228749999999995,0.9999750000000001,0.44482499999999997,-0.55515,0.04679166666666691,0.36140000000000005,0.361375,0.36140000000000005,-0.04679166666666701,0.3614,-0.361375,-0.3614,2.583333333333333,1.0,0.5,-0.5,0.08333333333333365,0.5,0.5,0.5,-0.08333333333333365,0.5,-0.5,-0.5,8,OD1,1,0.2694301256218253,1.7999999999999998
llama31_instruct,h1_dinc,79,main,CmNc,2.5568083333333336,1.0,0.45692499999999997,-0.543075,0.027358333333333384,0.349325,0.349325,0.349325,-0.027358333333333384,0.349325,-0.349325,-0.349325,2.666666666666667,1.0,0.5,-0.5,4.623039550284263e-17,0.5,0.5,0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,8,DD,1,0.2694301256218253,1.7999999999999998
llama31_instruct,h1_dinc,79,main,CmDl,2.550375,0.9999750000000001,0.51885,-0.481125,-0.012541666666666805,0.34782500000000005,0.3478,0.34782500000000005,0.012541666666666805,0.34782500000000005,-0.3478,-0.34782500000000005,2.666666666666667,1.0,0.5,-0.5,4.623039550284263e-17,0.5,0.5,0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,4,DD,1,0.0384900179459749,1.4
qwen_instruct,h1_dinc,79,main,CoSh,0.9824999999999998,0.478425,0.214875,-0.26355,0.7345666666666665,0.344225,0.09037500000000001,-0.25384999999999996,0.7345666666666665,0.344225,0.09037500000000001,-0.25384999999999996,1.0833333333333333,0.5,0.25,-0.25,1.0833333333333333,0.5,0.25,-0.25,1.0833333333333333,0.5,0.25,-0.25,8,CO2,2,-0.5169508502148299,0.2
llama31_instruct,h1_dinc,79,main,HaPc,2.5396083333333332,0.999925,0.5645,-0.435425,0.041924999999999685,0.33952499999999997,-0.33945000000000003,-0.33952499999999997,0.041924999999999685,0.33952499999999997,-0.33945000000000003,-0.33952499999999997,2.666666666666667,1.0,0.5,-0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,9,DD,1,-0.4233901974057255,0.6000000000000001
qwen_instruct,h1_dinc,65,main_perp,ChBa,1.3497999999999997,0.691675,0.4045,-0.28717499999999996,-0.35485000000000005,0.33885,0.15365,0.273875,-0.35485000000000005,0.33885,0.15365,0.273875,1.083333333333333,0.5,0.0,-0.5,-1.083333333333333,0.5,0.0,0.5,-1.083333333333333,0.5,0.0,0.5,5,CO2,2,0.1562542305420579,0.6000000000000001
qwen_instruct,h1_dinc,65,main,ChBa,1.3751083333333332,0.706175,0.41905000000000003,-0.28712499999999996,-0.3304416666666664,0.33845000000000003,0.16745000000000004,0.273825,-0.3304416666666664,0.33845000000000003,0.16745000000000004,0.273825,1.083333333333333,0.5,0.0,-0.5,-1.083333333333333,0.5,0.0,0.5,-1.083333333333333,0.5,0.0,0.5,5,CO2,2,0.1562542305420579,0.6000000000000001
llama31_instruct,h1_dinc,79,main,CmCm,2.5504,1.0,0.4404,-0.5596,0.03971666666666676,0.3365,0.3365,0.3365,-0.03971666666666676,0.3365,-0.3365,-0.3365,2.666666666666667,1.0,0.5,-0.5,4.623039550284263e-17,0.5,0.5,0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,2,DD,1,-0.3079201435678004,0.8
llama31_instruct,h1_dinc,79,main,HaHa,2.561983333333333,0.9999499999999999,0.5101749999999999,-0.489775,0.010149999999999949,0.325075,-0.325025,-0.325075,0.010149999999999949,0.325075,-0.325025,-0.325075,2.666666666666667,1.0,0.5,-0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,5,DD,1,-0.6543303050815759,0.2
llama31_instruct,h1_dinc,79,main,HaNc,2.5257916666666667,0.999925,0.6111,-0.388825,0.07552499999999988,0.324925,-0.32484999999999997,-0.324925,0.07552499999999988,0.324925,-0.32484999999999997,-0.324925,2.5,1.0,0.5,-0.5,0.16666666666666669,0.5,-0.5,-0.5,0.16666666666666669,0.5,-0.5,-0.5,7,DD,1,-0.7698003589195012,0.0
qwen_instruct,h1_dinc,79,main,ChBa,0.9844499999999996,0.485,0.20642499999999997,-0.278575,-0.6320833333333332,0.3247,-0.025575,0.265825,-0.6320833333333332,0.3247,-0.025575,0.265825,1.083333333333333,0.5,0.0,-0.5,-1.083333333333333,0.5,0.0,0.5,-1.083333333333333,0.5,0.0,0.5,5,CO2,2,0.1562542305420579,0.6000000000000001
qwen_instruct,h1_dinc,79,main,CoAs,1.137175,0.556275,0.27775,-0.27852499999999997,0.6289416666666666,0.32339999999999997,0.03260000000000002,-0.25287499999999996,0.6289416666666666,0.32339999999999997,0.03260000000000002,-0.25287499999999996,1.222222222222222,0.5833333333333333,0.3333333333333333,-0.25,1.222222222222222,0.5833333333333333,0.3333333333333333,-0.25,1.222222222222222,0.5833333333333333,0.3333333333333333,-0.25,7,CO2,2,-0.6035533905932737,0.0
qwen_instruct,h1_dinc,65,main_perp,CoSh,1.1702833333333331,0.591425,0.346275,-0.24514999999999998,0.5223499999999999,0.322725,-0.015374999999999972,-0.23524999999999996,0.5223499999999999,0.322725,-0.015374999999999972,-0.23524999999999996,1.0833333333333333,0.5,0.25,-0.25,1.0833333333333333,0.5,0.25,-0.25,1.0833333333333333,0.5,0.25,-0.25,8,CO2,2,-0.5169508502148299,0.2
qwen_instruct,h1_dinc,79,main,CoCo,1.1226416666666665,0.55035,0.2682,-0.28215,0.6358916666666663,0.320625,0.027849999999999986,-0.2611,0.6358916666666663,0.320625,0.027849999999999986,-0.2611,1.083333333333333,0.5,0.0,-0.5,1.083333333333333,0.5,0.0,-0.5,1.083333333333333,0.5,0.0,-0.5,7,CO1,2,-0.5169508502148299,0.2
qwen_instruct,h1_dinc,65,main_perp,ChHr,1.2369833333333333,0.6415,0.369325,-0.272175,-0.3393499999999998,0.319575,0.13382499999999997,0.259775,-0.3393499999999998,0.319575,0.13382499999999997,0.259775,0.9999999999999999,0.5,0.0,-0.5,-0.9999999999999999,0.5,0.0,0.5,-0.9999999999999999,0.5,0.0,0.5,6,CO1,2,0.3294593112989456,1.0
qwen_instruct,h1_dinc,65,main,CoSh,1.1924333333333332,0.600325,0.358675,-0.24164999999999998,0.5021166666666667,0.31952499999999995,-0.027724999999999972,-0.23164999999999997,0.5021166666666667,0.31952499999999995,-0.027724999999999972,-0.23164999999999997,1.0833333333333333,0.5,0.25,-0.25,1.0833333333333333,0.5,0.25,-0.25,1.0833333333333333,0.5,0.25,-0.25,8,CO2,2,-0.5169508502148299,0.2
qwen_instruct,h1_dinc,79,main,ChHr,0.9403250000000001,0.466425,0.19225,-0.274175,-0.6166250000000001,0.31935,-0.027499999999999997,0.26217500000000005,-0.6166250000000001,0.31935,-0.027499999999999997,0.26217500000000005,1.083333333333333,0.5,0.0,-0.5,-1.083333333333333,0.5,0.0,0.5,-1.083333333333333,0.5,0.0,0.5,6,CO1,2,0.3294593112989456,1.0
qwen_instruct,h1_dinc,65,main,ChHr,1.2640916666666666,0.6492249999999999,0.377,-0.272225,-0.33945833333333325,0.31899999999999995,0.14084999999999998,0.259775,-0.33945833333333325,0.31899999999999995,0.14084999999999998,0.259775,0.9999999999999999,0.5,0.0,-0.5,-0.9999999999999999,0.5,0.0,0.5,-0.9999999999999999,0.5,0.0,0.5,6,CO1,2,0.3294593112989456,1.0
