model,mode,steer_layer,main_canon_slope,main_letter_slope,main_canon_range,main_canon_flip_rate,main_canon_coherence,main_perp_canon_slope,main_perp_letter_slope,main_perp_canon_range,main_perp_canon_flip_rate,main_perp_canon_coherence,random_canon_slope,random_letter_slope,random_canon_range,random_canon_flip_rate,random_canon_coherence,main_minus_random_canon_slope,main_over_random_canon_range,main_perp_minus_random_canon_slope,main_perp_over_random_canon_range
llama31_instruct,h1_dinc,65,0.033140277777777775,1.4242368827160492,0.6954,0.9583333333333334,0.4999298540965207,0.030987345679012353,1.3389101851851852,0.6575388888888889,0.9259259259259259,0.5019793344068707,0.02212854938271605,0.16323009259259255,0.09138333333333334,0.14814814814814814,0.5430339301985329,0.011011728395061725,7.609702717490424,0.008858796296296302,7.19539181713174
llama31_instruct,h1_dinc,79,0.0031558641975308398,2.5934376543209874,0.9999837962962963,1.0,0.5,-0.016421141975308647,0.012267438271604928,0.04175787037037037,0.027777777777777776,0.4760090058529171,-0.01752824074074075,-0.8062195987654319,0.3935092592592593,0.6388888888888888,0.5,0.02068410493827159,2.541195086943222,0.001107098765432104,0.10611661450857666
llama31_instruct,h2_choice,65,-0.013839197530864197,-0.08156913580246912,0.06706342592592593,0.125,0.4647173822590918,-0.015137808641975302,-0.12189429012345679,0.08080972222222223,0.14351851851851852,0.4503423119930688,0.02212854938271605,0.16323009259259255,0.09138333333333334,0.14814814814814814,0.5430339301985329,-0.03596774691358025,0.7338693334954506,-0.03726635802469135,0.8842938780472976
llama31_instruct,h2_choice,79,-0.02097114197530864,-1.2191708333333333,0.5897476851851852,0.8796296296296297,0.5,-0.007527160493827152,0.012370061728395061,0.037011111111111106,0.027777777777777776,0.49953870089319,-0.01752824074074075,-0.8062195987654319,0.3935092592592593,0.6388888888888888,0.5,-0.003442901234567891,1.4986882044283394,0.0100010802469136,0.0940539777406527
qwen,h1_dinc,65,0.01593749999999999,1.023068672839506,0.5052814814814816,0.9861111111111112,0.5023148148148148,0.018082561728395053,1.0100541666666667,0.49915879629629634,0.9907407407407407,0.5019457863660762,0.0009871913580246855,0.014904783950617286,0.034745370370370364,0.08333333333333333,0.5113766745969188,0.014950308641975305,14.542411725516327,0.01709537037037037,14.366195869420391
qwen,h1_dinc,79,0.0016890432098765407,0.7469733024691358,0.3709060185185185,0.9120370370370371,0.5032620023562052,5.077160493827032e-05,0.003570216049382721,0.024253703703703694,0.06018518518518518,0.48687180465001234,-0.0019520061728395097,-0.02877978395061728,0.028231018518518516,0.06481481481481481,0.4828911828911828,0.00364104938271605,13.138244313616164,0.00200277777777778,0.8591154331819149
qwen,h2_choice,65,0.04367052469135802,-0.35400138888888893,0.17893703703703706,0.35185185185185186,0.5292489782255865,0.04828256172839506,-0.3522177469135802,0.17851481481481482,0.37037037037037035,0.5317436978656711,0.0009871913580246855,0.014904783950617286,0.034745370370370364,0.08333333333333333,0.5113766745969188,0.04268333333333334,5.149953364423719,0.047295370370370377,5.137801465689542
qwen,h2_choice,79,0.003342129629629625,-0.1821930555555555,0.09084212962962963,0.2175925925925926,0.49287739550897447,-0.003175462962962956,-0.0027381172839506273,0.024671296296296292,0.06481481481481481,0.4957353215781148,-0.0019520061728395097,-0.02877978395061728,0.028231018518518516,0.06481481481481481,0.4828911828911828,0.005294135802469135,3.217812689614458,-0.0012234567901234462,0.8739074107479623
qwen_instruct,h1_dinc,65,0.052262808641975286,1.360575462962963,0.6993546296296296,0.6712962962962963,0.5,0.056520061728395056,1.334846296296296,0.6856347222222223,0.6527777777777778,0.5,0.005958641975308648,0.031071296296296298,0.023531944444444446,0.041666666666666664,0.5692519070188787,0.04630416666666664,29.719372798992698,0.05056141975308641,29.136339491235322
qwen_instruct,h1_dinc,79,0.05585586419753086,1.0434512345679012,0.5212231481481482,0.4583333333333333,0.5,-0.00024012345679012178,-0.0008064814814814752,0.009836111111111111,0.027777777777777776,0.47728363199340307,0.0015550925925925932,0.0368016975308642,0.019318981481481482,0.032407407407407406,0.4784147482268397,0.054300771604938264,26.979846150159364,-0.001795216049382715,0.5091423230846653
qwen_instruct,h2_choice,65,0.02031574074074073,-0.7191879629629631,0.355787037037037,0.25,0.5083547692243343,0.025061882716049384,-0.699429475308642,0.3452467592592593,0.2361111111111111,0.5134398679688535,0.005958641975308648,0.031071296296296298,0.023531944444444446,0.041666666666666664,0.5692519070188787,0.014357098765432084,15.119321647091226,0.019103240740740737,14.671408054457101
qwen_instruct,h2_choice,79,-0.042154938271604936,-0.8153259259259257,0.4075171296296296,0.3611111111111111,0.5,-0.00020987654320987482,0.0007141975308641969,0.008203240740740738,0.013888888888888888,0.4376090355959973,0.0015550925925925932,0.0368016975308642,0.019318981481481482,0.032407407407407406,0.4784147482268397,-0.04371003086419753,21.094131179755085,-0.001764969135802468,0.4246207673320711
